user_prompt,유형,극성,시제,확실성
"헹굴 때는 충분히, 샤워기라면 3분 이상, 세면대라면 7회 이상 헹궈야 한다.",추론형,긍정,현재,확실
상대적으로 낮은 한국 기업의 배당성향이 높아질 수 있도록 배당과 자사주 매입 등 주주 환원책 장려 방안도 필요하다.,추론형,긍정,현재,확실
어여쁘게 피었다 어느 날 사라져도 서운할 게 없는 이유는 내년이면 어김없이 다시 필 것이라는 믿음이 있기 때문이다.,추론형,긍정,현재,확실
중국이 어물쩍 넘어간다고 우리도 ＇좋은 게 좋다＇는 식으로 넘어갈 문제는 더더욱 아니다.,추론형,부정,현재,확실
또한 새로운 정보와 책을 통하여 간접적으로 경험하면서 변화가 될 수도 있다.,추론형,긍정,미래,불확실
기업은행장에 오르면서는 노조 반발이란 새로운 위기에 직면해 있다.,추론형,긍정,현재,확실
부영 측은 ＂별다른 입장이 없다＂고 했지만 용산구 실시계획인가를 두고 제2의 소송을 제기할 가능성도 배제할 수 없다.,추론형,부정,현재,불확실
한국 금융산업 시계만 거꾸로 돌아가는 현실이 안타까울 뿐이다.,추론형,긍정,현재,확실
감이나 배와 게를 함께 먹지 말아야 한다.,추론형,부정,현재,확실
"규제로 묶어놓았던 온오프라인의 경계는 일시적으로 사라졌으며, 코로나19가 불러온 나비효과가 어디까지 갈지 예측하기조차 어렵다.",추론형,부정,현재,확실
산·바다처럼 강한 햇볕 아래에서 시간을 보낸 뒤 눈부심이 심해졌다면 광각막염을 의심해야 한다.,추론형,긍정,현재,불확실
"나 역시 반찬이 들어 있지 않은 반찬통들을 쌓아놓는데 상당한 공간을 허비하고 있는데, 냉장고 한 칸이 통째로 비어있다면 충분히 넣어둘 만할 듯했다.",추론형,긍정,미래,불확실
다른 플랫폼 시장과 마찬가지로 이용자가 많아질수록 배달 앱 서비스도 진화할 것이라는 점을 감안해야 한다.,추론형,긍정,현재,확실
"상품과 자본, 사람, 아이디어의 자유로운 이동이 막히면 한국 경제의 피 돌기도 멈출 수 있다.",추론형,긍정,미래,불확실
"모든 신청 팀은 기획안 작성법, 개발 이론, 저작권 이해 등 게임 콘텐츠 개발에 필수적인 내용으로 구성된 온라인 강의를 수강해야 한다.",추론형,긍정,미래,확실
후비루에 의한 만성기침은 비염이나 축농증에 듣는 약물요법을 시행하고 약물만으로 조절되지 않는다면 이비인후과적 시술을 받아야 한다.,추론형,긍정,미래,불확실
4년 전 손목 부상과 슬럼프에 빠졌던 위기를 넘기고 누구도 예상하지 못한 금메달을 목에 걸었던 박인비는 이번에도 정말 독한 마음을 품었다.,추론형,긍정,과거,확실
세계가 너무도 위험해졌다.,추론형,긍정,과거,확실
최근 6개월간 전국 누적 강수량이 평년의 절반 수준에 머물게 되면서 공연을 위해 어마어마한 양의 물을 사용하는 것이 부적절하다는 목소리가 커졌다.,추론형,긍정,과거,불확실
김 정책실장이 언급한 달은 문 대통령을 뜻하는 것으로 보인다.,추론형,긍정,현재,불확실
"삶과 죽음의 경계에 선 인간의 나약함, 그리고 그 순간에 느꼈을 절대고독은 상황 묘사만으로도 읽는 이들의 마음을 흔든다.",추론형,긍정,현재,확실
드라마에 간간이 섞은 실제 화면은 이야기에 관객이 몰입하도록 돕는다.,추론형,긍정,현재,확실
이렇게 되면 금융소비자들은 원한다면 급여 계좌를 핀테크 계정으로 옮기고 해당 앱에서 P2P(개인 간 거래) 투자나 펀드 가입 등 재테크를 할 수도 있다.,추론형,긍정,현재,불확실
"이제 틱톡, 릴스 등의 숏폼 콘텐츠는 주 사용층인 1020세대뿐만 아니라, 3050세대들에게도 어색하지 않게 느껴진다.",추론형,긍정,현재,확실
또한 골프에 전문화되지 않은 모션 센서의 한계로 라이각과 스윙 폼 등 정밀한 데이터는 반영되지 않아 실제 라운드 감성을 느끼기에는 부족한 편이다.,추론형,긍정,현재,확실
몸속 콜라겐 생성을 돕고 일정하게 유지하려면 단백질과 비타민C를 꾸준히 섭취하면 좋다.,추론형,긍정,현재,확실
꽃은 약속이다.,추론형,긍정,현재,확실
"사람의 품성을 알아보는 신비의 동물 기린이 첫 등장하고 나선형 지하 감옥을 지키는 ＇만티코어＇, 열기구처럼 몸을 부풀려 하늘을 나는 조류 ＇와이번＇도 시선을 사로잡는다.",추론형,긍정,현재,확실
＂지식인이 내부로 침잠하여 그들만의 심오함을 물신화할 때 사라지는 건 비단 대중뿐만이 아니다.＂,추론형,긍정,현재,확실
"순수했기에 어리석었고, 가장 가까운 타인에게 상처를 주는 결정을 내렸으면서도 그 결정이 충동적이었던 탓에 스스로 책임지지 못하는 아사코는 지켜보는 입장에선 ＇민폐＇ 캐릭터지만 우리에겐 누구나 아사코 같은 면이 있기에 마냥 비난할 수만은 없다.",추론형,부정,현재,확실
홍국영의 권세는 실로 막강했다.,추론형,긍정,과거,확실
민주주의 사회에서 집회·시위의 자유도 중요하지만 일반 시민이 마땅히 누려야 할 행복추구권을 보장하기 위해서다.,추론형,긍정,현재,확실
반대로 민주당은 ＇탄핵 보검＇을 반쯤 꺼내든 채로 사사건건 백악관의 뒷덜미를 잡을 게 뻔하다.,추론형,긍정,미래,불확실
BNPL 서비스를 이용하면 소비자 지출 규모가 커진다는 것도 기업이 관심을 보이는 이유다.,추론형,긍정,현재,확실
"양방치료로는 고주파 온열암치료, 싸이모신 알파, 이뮨셀 면역세포 배양요법, 고농도 비타민C 등을 사용해 항암·방사선 치료로 인한 기력 저하, 체중 감소, 오심, 구토 증상 등을 완화하는 데 도움을 준다.",추론형,긍정,현재,확실
"너무 많은 주장들 속을 헤엄치느라 침묵을 잃었고, 너무 많은 음식을 생산하느라 나무를 잃었다.",추론형,긍정,현재,확실
높아진 보안 수준으로 겪는 불편함은 결국 고객 이탈로 이어질 것이다.,추론형,긍정,미래,확실
정체된 시내 도로를 반복하기보다는 주기적인 고속도로 주행이 이뤄진다면 DPF를 더욱 오래 유지할 수 있다.,추론형,긍정,미래,확실
"20일 출시되는 일본산 게임 ＇우마무스메 프리티더비＇와 23일 한국산 ＇미르M: 뱅가드앤배가본드＇, 24일 중국산 ＇천애명월도M＇이 주인공이다.",추론형,긍정,현재,확실
물론 이 싸움은 올림픽 대표 경쟁과도 궤를 같이한다.,추론형,긍정,현재,확실
모든 정부 정책의 근간이 되는 통계마저 국민 체감과 동떨어져 있는데 어떻게 효과적인 중산층 정책이 가능하냐는 비판이 나오는 이유다.,추론형,긍정,현재,확실
"남이섬을 ＇겨울연가＇로 기억하는 사람들도 적지 않지만, 그보다는 ＇책의 섬＇이라고 하는 게 더 정확하다.",추론형,긍정,현재,확실
이 극을 본 난 뒤 관객들은 대부분 비슷한 감상을 하지 않을까 싶다.,추론형,미정,미래,불확실
임추위는 경영 승계 절차 개시일 이후 40일 이내에 최종 후보자 추천 절차를 마쳐야 한다.,추론형,긍정,미래,확실
미래 먹거리 사업으로 ＇이동형 로봇＇ 분야를 점찍은 KT의 사례가 눈에 띈다.,추론형,긍정,현재,확실
전통시장과 지역사회의 소상공인 자영업자에게 지불하고 이를 국가와 지방자치단체가 보전해주면 된다.,추론형,긍정,미래,확실
검찰이 주어진 권한을 함부로 휘두르는 것을 방지해야 한다는 데 이론의 여지가 없기 때문이다.,추론형,긍정,현재,확실
"또 3월 중순까지 일일퀘스트를 통해 3.1절 주화를 획득하고 태극 런처, 2020년 태극 등장식, 최상급 제작 COOP 남·녀 태극 제1특전단 아바타 등을 가공할 수 있다.",추론형,긍정,미래,불확실
"그런데, 이 뮤지컬, 한마디로 물건이다.",추론형,긍정,현재,확실
"올 여름, 배롱나무 백일홍과 인연을 맺을 수 있다면 그것은 종교를 떠나 부처와의 만남을 뜻하는 것이니, 생성과 소멸이라는 우주의 원리를 담고 있는 백일홍의 깊은 아름다움을 꼭 한번 만나 볼 것을 기원해 본다.",추론형,긍정,현재,확실
저축은행은 시중은행(1개월)과 달리 3개월 이내 만기가 도래하는 유동성 부채(예금 등)에 대해 유동성 자산(대출 등)을 100% 이상 보유해야 한다.,추론형,긍정,미래,확실
"즉, 3% 정도 지지를 받은 정당은 득표만큼 의석을 가져가지 못하는 반면, 오히려 지지율이 미미한 정당이 의석을 가져가는 현상이 발생할 수 있다.",추론형,미정,미래,불확실
"꽃잎은 길쭉하게 생긴 것이 꽃이 만발했을 때의 그 순수함은 꽃말 그대로 ＇영원한 사랑＇을 떠올리게 되지만, 꽃잎이 떨어지기 시작하면 주변이 그 쌀알 같은 꽃들의 잔해로 가득해 환경을 관리하는 사람들의 손길이 더욱 바빠질 게 염려되기도 한다.",추론형,긍정,현재,불확실
예술 작품을 인간적으로 대하며 깊이 탐구하는 이탈리아의 복원 방식에도 매료됐다.,추론형,긍정,과거,확실
집값이 자꾸 오르니 상속세나 보유세를 아끼려는 의도다.,추론형,긍정,현재,확실
＂나는 그저 산에 오르는 것이 아니라 내 마음속에 있는 산을 오르는 것이다.＂,추론형,긍정,현재,확실
이제 확진자 1000명을 넘는 건 시간문제다.,추론형,긍정,현재,확실
그렇지만 훗날 크게 이름을 떨친 이는 한음 이덕형(20세 때 합격) 등 극히 소수에 불과하다.,추론형,긍정,현재,확실
"＂지금 현대사회에서도 끔찍하거나 이해할 수 없는 사건들이 있는데 개인의 문제로만 돌릴 수 있을지, 사회는 자유로워질 수 있을지 그런 지점에 대해 영화로 만들어보고 싶었다.＂",추론형,긍정,과거,확실
잡음은 확실히 주관적 판단이 중요한 정신의학에서 특히 높게 나타난다.,추론형,긍정,현재,확실
"자동차 머플러에서 물이 고이거나 떨어지는 현상은 일반적인 현상이며, 과하지 않다면 연료가 완전히 연소하였고, 연비가 좋다는 의미로도 볼 수 있다.",추론형,긍정,현재,불확실
＇우리학교 쇼핑몰＇이 청소년들의 창업과 도전정신을 키우는 긍정적인 성과를 낳을지 기대를 모은다.,추론형,긍정,현재,확실
중국이 국내 수요 부진을 이유로 수입 약속을 지키지 않아도 합의를 깬 것은 아니라고  우길 수 있다.,추론형,긍정,미래,불확실
다만 아쉬운 것은 로그라이크 장르 특성상 지속적인 반복이 필요한데 초반부가 다소 단조롭게 느껴진다는 점이다.,추론형,긍정,현재,확실
"때문에 조만간 주택담보대출을 받을 계획인데 마이너스통장 전체 한도의 50% 미만으로 사용하고 있다면, 한도를 낮추거나 마이너스통장 자체를 없애 DSR 한도를 미리 여유 있게 확보해놓는 것이 좋다.",추론형,긍정,현재,확실
PC 버전도 제공해 플랫폼을 오가며 다른 이용자와 자유롭게 게임을 즐길 수 있다.,추론형,긍정,미래,불확실
국민마다 견해와 이해가 다를 수 있다.,추론형,긍정,현재,확실
불효자에게도 속절없이 상속해줘야 하는 현행 제도는 수정돼야 마땅하다.,추론형,긍정,미래,확실
화웨이가 탄소중립 솔루션을 강조하는 것은 탄소 다배출 산업이 몰려 있는 아태 지역 국가의 당면 문제를 역내에서 자체적으로 해결하며 동반 성장을 꾀하겠다는 전략으로 보인다.,추론형,긍정,현재,불확실
"서울 동작구 흑석9구역, 용산구 갈현1구역 등 수도권 내 이주를 앞둔 재건축·재개발 사업장이 많기 때문이다.",추론형,긍정,현재,확실
"도쿄행 티켓을 손에 쥐려면 조별리그에서 최소 2위를 기록하고 이후 8강, 4강을 거쳐 3위(일본 4강 진출 시 4위까지) 안에 들어야 한다.",추론형,긍정,미래,확실
가뜩이나 게임에 대한 부정적인 인식으로 골머리를 앓고 있는 업계 입장에서 비용 부담보다 더 치명적으로 작용할 수 있다.,추론형,긍정,미래,불확실
기계적 활동을 최대한 자제하고 자연의 리듬을 따른다는 점이 가장 큰 특징이다.,추론형,긍정,현재,확실
소득 격차가 줄어든 것이 저소득층이 일해 번 소득이 늘어서가 아니라 고소득층 소득 증가율이 큰 폭으로 감소한 데 따른 결과이기 때문이다.,추론형,긍정,현재,확실
활동 중단 이후에도 여전히 한 자리에서 레인보우를 응원하는 팬들을 위해서다.,추론형,긍정,현재,확실
"그리고 증상이 나타날 즈음이면 내당능 장애(당뇨병 전 단계), 고혈압, 고지혈증, 비만, 심혈관계 죽상동맥 경화증 등의 증상이 한꺼번에 나타나기 때문이다.",추론형,긍정,현재,확실
사회적으로 공익성을 가지며 의미가 있는 것일수록 좋다.,추론형,긍정,현재,확실
극을 보는 내내 웃음이 끊이지 않고 재미있다.,추론형,긍정,현재,확실
"세계국가편람은 1985년 국내 최초로 발간된 이래 매년 정부와 수출기업, 금융기관 등이 대외경제협력과 해외시장 진출 전략을 수립하는데 나침반 역할을 하고 있다.",추론형,긍정,현재,확실
이번 행사에서 이 같은 솔루션으로 화웨이가 아태 시장에서 확보한 막대한 영향력을 체감할 수 있었다.,추론형,긍정,과거,확실
엘살바도르가 비트코인을 법정통화로 채택한 이유는 송금 비용과 시간 절약을 할 수 있기 때문이다.,추론형,긍정,현재,확실
"예선 1위야 따 놓은 당상이고, 진짜 승부는 4강전부터다.",추론형,긍정,현재,확실
하지만 정권 초 검찰의 무차별적인 ＇적폐수사＇ 때는 시중의 따가운 여론을 외면하다가 정권 수사·기소 과정에서 느닷없이 외부 의견수렴을 언급한 것은 ＇권력 감싸기＇로 비칠 수 있다.,추론형,긍정,현재,불확실
음악 서비스에서는 순위가 인기를 얻게 하는 데 큰 역할을 한다.,추론형,긍정,현재,확실
다만 증권가에서는 하반기부터 엔터주 조정이 끝나고 본격적인 실적 성장이 이어질 것으로 전망하는 분위기다.,추론형,긍정,미래,확실
반려동물 인구가 급증하며 동물에 대한 관심도 커지는 것을 원인 중 하나로 꼽을 수 있다.,추론형,긍정,현재,확실
"이는 교과서에서 얻은 지식이 아니고 나 자신의 오랜 투병 생활과 2만5,000여 명의 환자들을 관리하면서 얻은 지혜이기 때문이다.",추론형,긍정,현재,확실
그러나 국회에서 이 같은 연장안이 원활하게 논의될 수 있을지는 미지수다.,추론형,긍정,미래,불확실
탁구 종목에서 중국 대표팀 위상이 뛰어나기 때문이다.,추론형,긍정,현재,확실
"3월 11일까지 ＇칼페온, 발렌시아, 오딜리타 황실 무역 삼파전!＇에 참여해 무역 납품 의뢰를 진행하면 금괴를 획득할 수 있다.",추론형,긍정,미래,불확실
가장 나쁜 규제는 옥석을 가리지 않는 일률규제다.,추론형,긍정,현재,확실
국내 보험사나 증권사는 거의 선순위 CLO에 투자한 반면 국내 자산운용사의 경우 에퀴티트랜치나 중순위(신용등급 BBB와 B 사이)에 주로 투자했다는 점이 문제다.,추론형,긍정,현재,확실
그렇지 않다면 각자 살길을 찾아야 한다.,추론형,긍정,현재,확실
필요하다면 정부가 나서 과감하게 지역 거점 평생교육기관으로 키워도 된다.,추론형,긍정,미래,확실
"아이돌 팬덤의 관심이 가장 큰 지상파 방송 3사(KBS, SBS, MBC) 연말 가요 축제는 ＇반쪽짜리＇로 전락했다.",추론형,긍정,과거,확실
한국시니어연구소는 지난해 시리즈A 투자 110억원을 성공적으로 유치하면서 시장의 기대를 한 몸에 받았다.,추론형,긍정,과거,확실
평상시처럼 활발하게 활동할 수는 없지만 과도한 소비 위축은 경제에 악영향을 미친다는 점에서 바람직하지 않다.,추론형,부정,현재,확실
"완충 시 최대 12시간까지 재생 가능하며, 파티부스트 기능을 통해 스피커 여러 대를 연결하여 클럽과 같은 파워풀한 사운드를 즐길 수 있다.",추론형,긍정,미래,불확실
박물관에서는 천주교 박해와 관련한 전시와 예술 작품을 만날 수 있다.,추론형,긍정,미래,불확실
퇴계 이황은 학문에서도 따라올 자가 없었지만 인품도 뛰어나 당파를 가리지 않고 수많은 학자들의 존경을 받았다.,추론형,긍정,과거,확실
그리고 고미술과 현대미술을 관통하는 한국적 정서의 공간이 펼쳐진다.,추론형,긍정,현재,확실
시청자들에게는 시민들이 직접 출연을 하기 때문에 여러 이야기에 대한 공감을 느끼고 희로애락을 함께 즐겼던 프로그램이다.,추론형,긍정,과거,확실
금융사 판매수수료만 날아간 게 아니라 금리의 두 배를 벌 수 있는 소비자 선택권도 사라졌다.,추론형,긍정,과거,확실
사태가 장기화하면 한국 경제의 마지막 보루로 여겼던 삼성 반도체도 그만큼 힘들어진다.,추론형,긍정,미래,확실
물론 계약의 해석이라는 게 어느 경우에나 당사자가 서면에 사용한 문구만을 그대로 따라야 하는 것은 아니다.,추론형,부정,현재,확실
"군주는 사랑을 좇기보다 두려움의 대상이 돼야 안전하다며, 눈물을 통해 국민과 공감대를 형성하고 사랑을 받으려는 태도는 마키아벨리 관점에선 위험한 행동인 것이다.",추론형,긍정,현재,확실
B군의 머리카락이 비교적 짧았지만 마른 체형인데다 여장을 한 상황에서 성별을 구별하기 쉽지 않았다.,추론형,긍정,과거,확실
안전운임제 연장뿐 아니라 품목 확대도 첨예한 쟁점이다.,추론형,긍정,현재,확실
문화는 뿌리 없이 어느 날 뚝 떨어진 것이 아니라 한 나라가 쌓아올린 다양한 산물들이 어우러진 열매이기 때문이다.,추론형,긍정,현재,확실
DPF 친환경 관리를 위해 오일이 감소하는 소모율을 운전자가 수시로 점검하는 것은 필수다.,추론형,긍정,현재,확실
미래 먹거리로 주목하는 것은 리츠와 대체 투자다.,추론형,긍정,현재,확실
"율곡, 우계와 깊이 교유해 사람들은 세 사람이 용모는 달라도 마음은 하나라고 칭송했다.",추론형,긍정,과거,확실
그 이유는 대중교통보다는 나 홀로 자가용 이용이 늘면서 교통량 증가로 정체가 발생하기 때문이다.,추론형,긍정,현재,확실
"냉혹한 글로벌 자본주의와 숨 가쁜 디지털 혁명의 시대에 개인과 기업, 국가가 온갖 불안에 휩싸이는 것은 피할 수 없다.",추론형,부정,미래,확실
더 많은 고민을 통해 사람들이 ＇돈 벌 생각 때문에 돈을 잃는＇ 사례가 줄어들게 해야 한다.,추론형,긍정,미래,확실
코로나19 충격이 가시면 우리는 확실히 달라져야 한다.,추론형,긍정,미래,확실
상대적으로 유동성 여유가 있는 소수 기업은 위기를 기회로 삼아 보다 공격적으로 해외 투자에 나설 수 있다.,추론형,긍정,미래,불확실
노후차는 초고령 노후차가 되고 기계도 쓸수록 유해물질 배출량이 증가하는 것은 당연하다.,추론형,긍정,현재,확실
기업은행 특성상 부실률이 높은 중소기업 대출이 많아 재무 건전성도 올해 위협받고 있다.,추론형,긍정,현재,확실
"뉴트와 동료 마법 크루의 케미와 함께, 덤블도어 역의 주드 로와 새롭게 합류한 그린델왈드 역 매즈 미켈슨의 애증 관계가 돋보인다.",추론형,긍정,현재,확실
하지만 바이러스 폐렴은 환자의 면역력으로 회복이 가능하다.,추론형,긍정,현재,불확실
최근 주변에 흔해진 당뇨병은 어떤 질환보다 혈관과 신경 관리에 주력해야 한다.,추론형,긍정,현재,확실
특히 기존 감마선 제품들이 대부분 설치된 지 10년이 넘은 노후 장비라 안전에 위협이 되고 있어 빠른 교체가 필요하다.,추론형,긍정,현재,확실
재시작시 마녀와 대화해 보유한 마석으로 캐릭터의 기본 능력을 강화하는 것이 가능하다.,추론형,긍정,현재,확실
고민의 배경을 알기 위해 일단 위성정당 창당 목적부터 이해해야 한다.,추론형,긍정,현재,확실
취임 직후 세계적 흐름인 ESG 경영에 ＇안전(Safety)＇을 추가한 ESSG 경영을 선언했는데 직전 배경과 무관치 않은 대목이다.,추론형,긍정,과거,확실
더 많은 이자를 얻으려면 많은 이더리움을 한 번에 예치해야 한다.,추론형,긍정,미래,불확실
그러나 안전운임제 적용 품목 확대를 논의하기로 한 점에 대해선 우려의 목소리를 냈다.,추론형,긍정,과거,확실
이번 지방선거는 정권교체가 이뤄진 지 석 달 만에 치렀을 뿐 아니라 오세훈 서울시장이 송영길 민주당 후보를 20%포인트 가까이 앞서는 등 민주당에 불리한 지형에서 치러졌다.,추론형,긍정,과거,확실
이와 함께 대출금액에 따라 세무회계 컨설팅·CEO 특화 자산관리 서비스·임직원 자산관리 세미나 등의 비금융서비스도 제공 받을 수 있다.,추론형,긍정,현재,확실
전망 역시 대체로 긍정적이다.,추론형,긍정,현재,불확실
"반반족발세트가 일회용 플라스틱 용기에 담겨 편의점 도시락과 유사하고 고기, 마늘, 쌈장, 채소 등이 들어있기 때문이다.",추론형,긍정,과거,확실
실로 오랜만에 주어진 행복을 행여 놓칠세라 카메라에 담는 여행자들의 모습이 정겹다.,추론형,긍정,현재,확실
"박홍근 민주당 원내대표는 이날 국회에서 열린 정책조정회의에서 법인세 인하에 대해 ＇흘러간 유행가＇라며 ＂물가 폭등, 주가 폭락, 금리 인상으로 국민 일상이 직격탄을 맞은 만큼 대기업 지키기보다 민생의 급한 불부터 꺼야 한다＂고 비판했다.",추론형,긍정,과거,확실
