user_prompt,유형,극성,시제,확실성
"넥슨게임즈와 니트로스튜디오, 데브캣 등의 넥슨 계열 회사는 물론 엔씨소프트와 에픽게임즈코리아, 크래프톤, 데브시스터즈 등 유력 기업의 강연도 들을 수 있다.",사실형,긍정,미래,확실
이제는 대출을 받을 때 고객이 정보 조회에 동의하면 대출 은행이 고객의 다른 은행 금융 자산을 일괄 조회할 수 있다.,추론형,긍정,미래,확실
숏폼 영상 자동 제작 솔루션 기업 비디오몬스터가 롱폼 영상 편집 애플리케이션 ＇비브(Viiv)＇를 다음달 출시한다.,예측형,긍정,미래,불확실
투자가 성사됐더라면 올해 토론토 블루제이스로 이적한 류현진 선수가 LA 다저스에 잔류해 프랜차이즈 스타로 자리매김했을지도 모른다.,추론형,미정,미래,불확실
내부에서 중량감 있는 인사를 찾지 못하면 외부 낙하산이 올 수도 있다.,추론형,미정,미래,불확실
게임빌은 오는 16일까지 ＇무명＇과 ＇메이메이＇의 ＇영입 확률 업＇ 이벤트도 실시한다.,사실형,긍정,미래,확실
"울릉도, 독도는 동해 중부 해상에 위치한 약한 기압골의 영향을 받아 밤에 비 또는 눈이 조금 오겠다.",예측형,긍정,미래,불확실
경복궁역에서 지하철로 30여분. 노량진에 도착해 도보 15분이면 이곳을 찾을 수 있다.,추론형,긍정,미래,확실
"첫째, 불필요한 마이너스통장부터 정리하자.",대화형,긍정,미래,확실
"또 새로운 스토리와 지역, 던전, 신규 보스를 지속 추가하며 콘텐츠를 늘려갈 예정이다.",사실형,긍정,미래,불확실
또한 새로운 정보와 책을 통하여 간접적으로 경험하면서 변화가 될 수도 있다.,추론형,긍정,미래,불확실
정부·여당은 파업의 발단인 화물차 안전운임제의 3년 연장을 골자로 한 제도 개편을 곧 논의한다.,사실형,긍정,미래,확실
증권거래세는 현재 0.23%지만 내년에는 0.2%로 낮아질 전망이다.,예측형,긍정,미래,불확실
이러한 현상이 지속이 될수록 아이들은 현실과 가상의 세계를 구분하기 힘든 상황이 되며 어른이 통제하기 힘든 상황에 극한 상황까지 도달한다.,사실형,긍정,미래,확실
"이용자 20명이 1개 조로 구성해 순위 경쟁을 펼치며 조별 1위 이용자 중 추첨을 통해 발뮤다 토스터기와 고급 커피 머신, 커피 기프티콘 등이 총 304명에게 증정된다.",사실형,긍정,미래,확실
"나 역시 반찬이 들어 있지 않은 반찬통들을 쌓아놓는데 상당한 공간을 허비하고 있는데, 냉장고 한 칸이 통째로 비어있다면 충분히 넣어둘 만할 듯했다.",추론형,긍정,미래,불확실
"상품과 자본, 사람, 아이디어의 자유로운 이동이 막히면 한국 경제의 피 돌기도 멈출 수 있다.",추론형,긍정,미래,불확실
"모든 신청 팀은 기획안 작성법, 개발 이론, 저작권 이해 등 게임 콘텐츠 개발에 필수적인 내용으로 구성된 온라인 강의를 수강해야 한다.",추론형,긍정,미래,확실
후비루에 의한 만성기침은 비염이나 축농증에 듣는 약물요법을 시행하고 약물만으로 조절되지 않는다면 이비인후과적 시술을 받아야 한다.,추론형,긍정,미래,불확실
"우즈를 비롯해 새롭게 세계랭킹 1위에 오른 로리 매킬로이(북아일랜드)와 1위 자리를 빼앗긴 브룩스 켑카(미국), 세계 3위 욘 람(스페인) 등 세계랭킹 톱10 가운데 9명이 출전한다.",사실형,긍정,미래,확실
반대로 민주당은 ＇탄핵 보검＇을 반쯤 꺼내든 채로 사사건건 백악관의 뒷덜미를 잡을 게 뻔하다.,추론형,긍정,미래,불확실
"현역병은 아침 점호 이후∼오전 8시 30분과 오후 5시 30분∼9시 시간대의 ＇최소형＇, 아침 점호 이후∼오후 9시의 ＇중간형＇, 24시간 소지하는 ＇자율형＇ 등 3개 유형으로 실시된다.",사실형,긍정,미래,확실
높아진 보안 수준으로 겪는 불편함은 결국 고객 이탈로 이어질 것이다.,추론형,긍정,미래,확실
정체된 시내 도로를 반복하기보다는 주기적인 고속도로 주행이 이뤄진다면 DPF를 더욱 오래 유지할 수 있다.,추론형,긍정,미래,확실
이 극을 본 난 뒤 관객들은 대부분 비슷한 감상을 하지 않을까 싶다.,추론형,미정,미래,불확실
임추위는 경영 승계 절차 개시일 이후 40일 이내에 최종 후보자 추천 절차를 마쳐야 한다.,추론형,긍정,미래,확실
전통시장과 지역사회의 소상공인 자영업자에게 지불하고 이를 국가와 지방자치단체가 보전해주면 된다.,추론형,긍정,미래,확실
2주차 마지막 스테이지였던 ＇한가로운 아침맞이＇를 공략완료하면 입장 가능하다.,사실형,긍정,미래,확실
큰 행사가 있으면 임금은 정복인 곤룡포를 입고 옥을 늘어뜨린 면류관을 쓴다.,사실형,긍정,미래,불확실
국방부에 따르면 휴대전화 사용시간은 군별 2∼3개 부대를 대상으로 다양한 유형을 적용해 시범 운영한다.,사실형,긍정,미래,확실
"또 3월 중순까지 일일퀘스트를 통해 3.1절 주화를 획득하고 태극 런처, 2020년 태극 등장식, 최상급 제작 COOP 남·녀 태극 제1특전단 아바타 등을 가공할 수 있다.",추론형,긍정,미래,불확실
"봉사활동은 특기사항 없이 실적만 기재할 수 있고, 소논문 활동은 학생부 모든 항목에서 아예 기재할 수 없다.",사실형,부정,미래,확실
"9분 40초 분량의 우울증 극복 콘텐츠를 함께 만든 생명존중시민희의, 스텔라재단, 생명존중 롯데는 우을증의 극복을 위한 공동 노력을 펼치기로 뜻을 모으고 이 콘텐츠를 국민들에게 적극 보급해 나갈 계획이다.",사실형,긍정,미래,확실
저축은행은 시중은행(1개월)과 달리 3개월 이내 만기가 도래하는 유동성 부채(예금 등)에 대해 유동성 자산(대출 등)을 100% 이상 보유해야 한다.,추론형,긍정,미래,확실
"즉, 3% 정도 지지를 받은 정당은 득표만큼 의석을 가져가지 못하는 반면, 오히려 지지율이 미미한 정당이 의석을 가져가는 현상이 발생할 수 있다.",추론형,미정,미래,불확실
김창한 신임 대표는 현재 펍지의 경영을 총괄하고 있으며 선임 절차를 거친 후 크래프톤과 펍지의 대표를 겸직할 예정이다.,예측형,긍정,미래,확실
"익상편은 증식된 섬유혈관성 조직에 의해 충혈, 이물감 등을 호소하기도 하고 시축을 가리거나 각막(검은자)까지 자란 병변에 의해 난시 등이 유발돼 시력 저하가 나타나기도 한다.",사실형,긍정,미래,확실
이에 산업부는 이동형 로봇 등에 대한 안전 기준을 새롭게 마련해 혁신 기술이 산업 현장에서 보다 적극적으로 사용될 수 있도록 지원하기로 했다.,사실형,긍정,미래,확실
이 장관은 먼저 두코바니 원전(1200MW규모) 수주 등 8조원대 원전 프로젝트를 추진 중인 체코를 방문한 뒤 폴란드로 넘어간다.,사실형,긍정,미래,확실
"현장 심사 및 시연의 전 과정은 온라인을 통해 실시간 중계되며, 행사장에 방문한 관람객들은 게임 콘텐츠를 직접 체험할 수 있을 예정이다.",예측형,긍정,미래,불확실
"＂TV나 다큐멘터리를 보고, 남의 이야기를 들을 때, 어떠한 삶의 관계를 포착하고 머릿속에 저장한다.＂",사실형,긍정,미래,확실
"하이에어가 도입 운용 중인 프랑스 ATR의 ATR72-500이며, 현재 보유 중인 2대 외에 올해 4대를 추가로 도입하고, 이후 매년 2대씩 도입하여 2025년에는 16대까지 늘려 운영할 계획이다.",사실형,긍정,미래,불확실
"경찰은 문제의 CCTV들과 대표 이사 휴대전화 등을 압수해 어떤 목적으로 CCTV를 설치했는지, 녹화 영상이 따로 저장되거나 유포됐는지 등을 수사할 방침이다.",사실형,긍정,미래,불확실
SNS 계정에 사전예약 소식을 공유한 이용자 중에서도 추첨을 통해 10명에게 아메리카노와 도넛팩 등을 제공한다.,사실형,긍정,미래,확실
"2020시즌 개막전 효성챔피언십 with SBS골프는 베트남에서 열렸고, 3월 개최되는 첫 대회는 대만여자오픈이다.",사실형,긍정,미래,확실
신청은 오는 31일까지 광진문화원에서 받는다.,사실형,긍정,미래,확실
중국이 국내 수요 부진을 이유로 수입 약속을 지키지 않아도 합의를 깬 것은 아니라고  우길 수 있다.,추론형,긍정,미래,불확실
오는 7일부터 10일까지 미국 라스베가스에서 열리는 ＇CES 2020＇ 전시회를 참관하기 위해서다.,사실형,긍정,미래,확실
일정량의 ＇체력＇을 소모해서 캐릭터를 훈련할 수 있다.,사실형,긍정,미래,확실
블리자드는 ＇오버워치2＇ 출시와 함께 신규 돌격 영웅 ＇정커퀸＇도 선보일 예정이다.,예측형,긍정,미래,불확실
"＇갈라크론드의 부활＇은 총 4개의 장으로 구성, 오는 22일을 시작으로 매주 하나씩 선보인다.",사실형,긍정,미래,확실
또 선 자세는 골반과 척추 기립근을 잡아 주어 자세를 곧게 유지하고 디스크 발생 가능성을 낮춘다.,사실형,긍정,미래,확실
"팬데믹으로 인한 여러 한계와 위기 속에서 억눌렸던 일상 회복에 대한 욕구가 강력히 표출되면서, 2022년은 그동안 단절됐던 일상 생활이 해제(UNLOCK)되고, 고정관념과 경계를 여는(UNLOCK) 새로운 한 해가 될 것으로 전망한 것이다.",예측형,긍정,미래,불확실
PC 버전도 제공해 플랫폼을 오가며 다른 이용자와 자유롭게 게임을 즐길 수 있다.,추론형,긍정,미래,불확실
불효자에게도 속절없이 상속해줘야 하는 현행 제도는 수정돼야 마땅하다.,추론형,긍정,미래,확실
＇V4＇ 공식카페에서는 23일까지 ＇넵 대신 네네~ 하세요!＇ 이벤트도 연다.,사실형,긍정,미래,확실
31일 금융당국과 업계에 따르면 앞으로 각종 공유형·통합형 금융 서비스가 본격적으로 소비자 품에 안긴다.,사실형,긍정,미래,확실
"도쿄행 티켓을 손에 쥐려면 조별리그에서 최소 2위를 기록하고 이후 8강, 4강을 거쳐 3위(일본 4강 진출 시 4위까지) 안에 들어야 한다.",추론형,긍정,미래,확실
가뜩이나 게임에 대한 부정적인 인식으로 골머리를 앓고 있는 업계 입장에서 비용 부담보다 더 치명적으로 작용할 수 있다.,추론형,긍정,미래,불확실
중고시장에서 고가에 팔리고 있는 그의 과거 앨범도 재발매할 계획이다.,사실형,긍정,미래,불확실
연내 중국 내 주요 도시의 랜드마크를 중심으로 5호점까지 늘릴 계획이다.,사실형,미정,미래,불확실
"＂주식이 폭락하는 과정에서는 현금 보유 수요가 늘어난다, 자산가치가 떨어지고 공포감이 커지면 부동산 구매 시기를 늦추고, 부동산 상승 기대감도 떨어질 수 있다＂는 안명숙 우리은행 부동산투자지원센터 부장의 설명 역시 같은 맥락이다.",사실형,긍정,미래,확실
마이크로소프트는 해당 게임의 글로벌 발매와 동시에 엑스박스 게임패스로도 이용할 수 있게 제공할 예정이다.,사실형,미정,미래,확실
"이번 공연에서는 2016년 이해랑 탄생 100주년 기념 공연으로 이해랑 연극상을 받은 한국 연극계의 원로 9명(전무송, 박정자, 손숙, 정동환, 김성녀, 유인촌, 윤석화, 손봉숙, 권성덕)이 출연을 알렸으며, 현재 한국 연극과 뮤지컬계를 이끄는 젊고 유망한 배우들이 가세, 한바탕 축제와도 같은 무대가 펼쳐질 예정이다.",사실형,긍정,미래,확실
반대로 지역구 당선 의원에 비해 전국적 지지율이 높은 정의당은 새 제도가 도입되면 의석수가 더 늘어날 것으로 예상됩니다.,대화형,긍정,미래,불확실
가격에 따라 차이는 있지만 감정평가 방식으로 상속·증여세가 부과되면 수억 원가량 세금 상승이 불가피할 전망이다.,예측형,긍정,미래,불확실
＇이브닝플러스＇는 오후 4시까지는 대면창구와 디지털라운지를 동시 운영하며 이후부터 오후 8시까지는 디지털라운지 디지털데스크 창구를 통해 은행 업무를 볼 수 있다.,사실형,긍정,미래,불확실
3월께에는 부처님이 깨달음을 얻은 장소인 인도 부다가야에 한국 사찰 ＇분황사＇ 건축을 시작한다.,사실형,긍정,미래,확실
네덜란드에 위치한 한 기업을 직접 찾아가서 만나기 위함인데요. ,대화형,긍정,미래,확실
"다만, 19일 오후 5시 VIP 관람은 진행하되, 인파가 몰리는 공식 개막 행사는 취소하기로 했다.",사실형,부정,미래,확실
"또한 AI 스타트업 ＇클레온＇은 사진과 음성으로 디지털 휴먼을 제작할 수 있는 기술을, 가상현실(VR) 전문기업 ＇피엔아이컴퍼니＇는 참관객이 이동하며 체험할 수 있는 메타버스 콘텐츠를 공개한다.",사실형,긍정,미래,확실
이제 관심은 ＇기생충＇이 영화 산업 중심지 북미에서 비영어 작품으로 최고의 흥행 기록을 세울지다.,사실형,미정,미래,확실
다만 증권가에서는 하반기부터 엔터주 조정이 끝나고 본격적인 실적 성장이 이어질 것으로 전망하는 분위기다.,추론형,긍정,미래,확실
"게임에 부정적인 프레임을 씌우고 게임업계에서 ＇죄악세(Sin tax: 술, 담배, 도박 등 사회에 부정적인 영향을 주는 것들에 부과되는 세금)＇를 걷겠다는 것이다.",사실형,긍정,미래,확실
＂1인치 정도 되는 장벽을 뛰어넘으면 여러분은 훨씬 더 많은 영화를 즐길 수 있습니다.＂,대화형,긍정,미래,확실
그러나 국회에서 이 같은 연장안이 원활하게 논의될 수 있을지는 미지수다.,추론형,긍정,미래,불확실
"기간 내 게임 플레이를 통해 획득한 이벤트 아이템을 교환해 ＇화이트데이 상자＇, ＇한정 코스튬＇, ＇한정 칭호＇를 얻을 수 있다.",사실형,긍정,미래,확실
이런 변화는 손해율 안정화를 통한 수익성 개선과 더불어 장기보장성보험 비중 확대를 통한 성장성도 높일 것으로 기대되고 있다.,사실형,긍정,미래,불확실
"3월 11일까지 ＇칼페온, 발렌시아, 오딜리타 황실 무역 삼파전!＇에 참여해 무역 납품 의뢰를 진행하면 금괴를 획득할 수 있다.",추론형,긍정,미래,불확실
한빛소프트(대표 김유라)는 모바일 리듬댄스게임 ＇클럽오디션＇의 서비스 3주년을 앞두고 관련 프로모션을 실시한다.,사실형,긍정,미래,확실
광장 게시판과 이벤트 안내 게시판 등이 마련된다.,사실형,긍정,미래,확실
출품된 작품 중 내부 심사를 통해 최대 20개의 작품을 1차 선발하고 이후 100% 이용자들의 인기 투표를 통해 최종 수상작을 선정하게 된다.,사실형,긍정,미래,확실
이들 두 ESL 프로 투어 외에도 아마추어 선수 등을 위한 주간 ESL 오픈컵(ESL Open Cups)이 진행될 예정이다.,사실형,미정,미래,확실
엔씨소프트는 9일부터 20일까지 부서별 인원의 50%가 순환하는 방식으로 재택근무도 시행한다.,사실형,긍정,미래,확실
필요하다면 정부가 나서 과감하게 지역 거점 평생교육기관으로 키워도 된다.,추론형,긍정,미래,확실
"또 여의도 IFC몰, 더현대 서울, 영등포 타임스퀘어 등 주요 상권을 편리하게 이용할 수 있다.",사실형,긍정,미래,확실
＇스타의거리＇에서는 하트조각을 소모해 게임 진행에 필요한 행동력인 ＇하트＇도 획득할 수 있다.,사실형,긍정,미래,확실
"완충 시 최대 12시간까지 재생 가능하며, 파티부스트 기능을 통해 스피커 여러 대를 연결하여 클럽과 같은 파워풀한 사운드를 즐길 수 있다.",추론형,긍정,미래,불확실
예상 강수량은 5~40mm로 소나기의 특성상 좁은 지역에서 강한 비가 내리는 곳이 있을 전망이다.,예측형,긍정,미래,불확실
"기상청에 따르면 이날 오후 경기 동부와 강원 내륙·산지, 전라 동부 내륙, 경북 북부 내륙, 경상 서부 내륙에서는 소나기가 5∼30㎜가량 내릴 것으로 보인다.",예측형,긍정,미래,확실
정부는 공공기관 감사 요건을 강화하는 개정안을 내년부터 본격 시행하기로 했다.,사실형,긍정,미래,확실
전 목사와 범투본 관계자 등 2명의 구속 여부는 이날 오후 늦게 결정될 것으로 예상된다.,예측형,긍정,미래,불확실
박물관에서는 천주교 박해와 관련한 전시와 예술 작품을 만날 수 있다.,추론형,긍정,미래,불확실
"해당 법안은 앞으로 미국에서 비트코인(BTC)과 이더리움(ETH)은 상품선물거래위원회(CFTC)가 관리하고, 이외 모든 코인은 증권거래위원회(SEC)가 담당하는 것을 골자로 한다.",사실형,긍정,미래,확실
위메이드는 오는 22일까지 게임에 접속한 모든 이용자에게 ＇K의 완소메달 상자＇와 ＇미스터리 선물 상자＇를 선물하는 이벤트도 실시한다.,사실형,긍정,미래,확실
"투명 OLED, OLED와 관련해 새로운 콘셉트를 발굴하는 것이 목표다.",사실형,긍정,미래,확실
사태가 장기화하면 한국 경제의 마지막 보루로 여겼던 삼성 반도체도 그만큼 힘들어진다.,추론형,긍정,미래,확실
한국인 경제력의 25분의 1에 불과한 북한 주민이 정말 인구절벽에 선 대한민국의 마지막 희망인 것일까.,대화형,미정,미래,불확실
한국에서 열리는 건 이번이 처음으로 부산 대회에는 87개국에서 선수 1200여 명과 각국 탁구협회 관계자 등 3000여 명이 참가할 예정이다.,사실형,긍정,미래,불확실
중소기업·소상공인·자영업자들의 금융 부담을 완화하기 위해서는 대출 원금 만기 연장을 모든 금융권으로 확대 시행하기로 했다.,사실형,긍정,미래,확실
《북학의》는 낙후한 현실을 벗어나기 위해서는 폐쇄적인 국가를 과감히 개방해야 한다고 했다.,사실형,긍정,미래,확실
"냉혹한 글로벌 자본주의와 숨 가쁜 디지털 혁명의 시대에 개인과 기업, 국가가 온갖 불안에 휩싸이는 것은 피할 수 없다.",추론형,부정,미래,확실
더 많은 고민을 통해 사람들이 ＇돈 벌 생각 때문에 돈을 잃는＇ 사례가 줄어들게 해야 한다.,추론형,긍정,미래,확실
이를 위해 오는 7월 1일 ＇위믹스3.0＇의 테스트넷을 공개하고 위믹스 월렛과 거버넌스 디앱을 온보딩한다.,예측형,긍정,미래,확실
"11월 데모데이를 열며 우수 업체에는 제품 공동 개발, 해외 전시회 참가 등 사업 확대를 지원한다.",사실형,긍정,미래,확실
"6일까지 후기 작성에 참여한 이용자 중 추첨을 통해 귀속 다이아, 골드 티켓 등 게임 아이템 보상을 지급할 계획이다.",사실형,긍정,미래,확실
코로나19 충격이 가시면 우리는 확실히 달라져야 한다.,추론형,긍정,미래,확실
상대적으로 유동성 여유가 있는 소수 기업은 위기를 기회로 삼아 보다 공격적으로 해외 투자에 나설 수 있다.,추론형,긍정,미래,불확실
"구글 보이스를 탑재해 음성 명령으로 음악을 재생하고, 뉴스나 날씨 등을 실행할 수 있다.",사실형,긍정,미래,불확실
"전설 용병 출전 인원 제한, 금지 용병 시스템 등 기존 결투장과는 다른 시스템이 적용되며 월드 아레나에서만 획득할 수 있는 ＇월드 티켓＇을 사용해 ＇캐리여왕 발제＇ 코스튬을 비롯한 시즌별 각 개최국에 맞는 특별 코스튬을 구매할 수 있다.",사실형,긍정,미래,확실
그러나 이와 별개로 부지런한 추신수(38)는 훨씬 일찍 텍사스의 스프링캠프인 애리조나주 서프라이즈의 서프라이즈 스타디움에 입소해 컨디션을 끌어올릴 예정이다.,사실형,긍정,미래,확실
이 경우 트럼프 대통령이 대중국 정책 성과로 자화자찬했던 1단계 합의안에 대한 평가가 달라지면서 미 선거 표심에 영향을 줄 것이다.,예측형,긍정,미래,확실
"특히 청와대나 정부 고위급에서 ＇공급은 충분하다＇고 말하면 실무진에선 공급을 늘릴 명분도, 그럴 필요도 없어진다.",사실형,부정,미래,확실
＇소사매＇는 키우는 방식에 따라 다른 능력치 결과를 얻게 되며 ＇수업＇과 ＇유람＇을 통해 능력치를 쌓아 ＇합심무공＇ 스킬을 얻으면 ＇연속기＇ 사용도 가능하다.,사실형,긍정,미래,확실
정부는 이번에 분양가 상한제 개편안도 함께 공개할 예정이다.,사실형,긍정,미래,불확실
규제심판관은 100여 명의 민간 전문가로 구성하고 건별로 전문 분야에 맞춰 배정하는 방식이 될 전망이다.,예측형,긍정,미래,불확실
콘크리에프엔비는 사명 변경 이후 콘크리 계열사로 편입돼 식음료 분야를 전담한다.,사실형,긍정,미래,확실
더 많은 이자를 얻으려면 많은 이더리움을 한 번에 예치해야 한다.,추론형,긍정,미래,불확실
"중국의 봉쇄 조치가 점진적으로 완화되기 시작하고, 미국은 드라이빙 시즌에 진입하면서 휴가철 원유 수요 급증이 예상된다.",예측형,긍정,미래,불확실
"넷마블(대표 권영식, 이승원)은 PC온라인 야구 게임 ＇마구마구＇에서 오는 3월 25일까지 ＇스프링캠프 이벤트＇를 실시한다.",사실형,긍정,미래,확실
정부는 항공우주청 설립을 약속하는 등 산업을 키우기 위해 전폭적인 지원을 할 계획이다.,사실형,긍정,미래,불확실
다만 유류세율 100% 인하는 법 개정 사안으로 거대 야당의 동의가 필수다.,사실형,긍정,미래,확실
5G 이용 고객이 대상 제휴처에서 T멤버십 카드 또는 쿠폰을 제시하면 할인받을 수 있다.,사실형,긍정,미래,불확실
넥슨은 26일까지 ＇스팀＇을 통해 ＇베일드 엑스퍼트＇의 글로벌 베타 테스트를 진행한다.,사실형,긍정,미래,확실
오픈뱅킹은 은행의 폐쇄적인 송금·결제망을 오픈 API(표준화된 은행 기술기반) 형태로 개방하는 정책이다.,사실형,긍정,미래,확실
또한 불확실한 경영환경에서 지속성장을 확보하기 위해 변화에 선제적으로 대응하기 위한 리스크 대응체계를 구축하는데 역량을 기울일 방침이다.,사실형,긍정,미래,불확실
장기적으로는 유능한 인재의 유입이 줄어들어 전체적인 업계 경쟁력 저하로 이어질 가능성이 높다.,사실형,긍정,미래,확실
펄어비스 (대표 정경인)의 신작 배틀로얄 대전액션 게임 ＇섀도우 아레나＇의 2차 테스트가 오후 4시부터 시작된다.,사실형,긍정,미래,확실
핵심 기술은 ＇맥시멈 액티프 스피드 슬롯＇으로 헤드 내부에 립(RIB)을 더함으로써 스윙 스피드가 느린 골퍼라도 긴 비거리를 확보할 수 있도록 도와준다.,사실형,긍정,미래,확실
위메이드(대표 장현국)는 계열회사 전기아이피에서 서비스하는 PC온라인게임 ＇미르의전설2＇의 정식 서비스 19주년을 기념해 오는 4월 16일까지 이벤트를 실시한다.,사실형,긍정,미래,확실
테스트는 6월 26일까지 진행된다.,사실형,긍정,미래,확실
한전은 이 같은 특별심의위 결정을 이행하기 위해 고성 비상대책위원회와 협의해 조속히 현장부스를 마련하고 피해주민들과 개별 합의를 진행할 방침이다.,사실형,긍정,미래,불확실
