index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
0,구글도 1090억달러(2018년 말)에서 1197억달러(2019년 말)로 현금을 높여 놨습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
88,빙하 속 잠든 신종 바이러스가 깨어났다지난 1월 학술논문 사전공개 사이트인 바이오 아카이브(bioRxiv)에 미·중 공동 연구팀의 흥미로운 연구 결과가 소개됐습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
104,"그는 KPGA 선수권대회에서 첫 우승을 차지하며 코리안투어 5년 출전권, 미국프로골프(PGA) 투어 더CJ컵 출전권을 받았습니다.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
65,신상훈은 지난겨울 100m 웨지샷을 집중적으로 연습했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
45,"인공지능과 같은 기술들이 이제는 수도꼭지만 틀면 나오는 수돗물처럼 일상적으로 구매할 수 있는 상품이 되어버린 지금, 수도 배관을 공급해 주는 역할을 하는 이들 기업은 CES에서 울려 퍼진 ＇인공지능 합창＇만큼 좋은 일도 없었을 겁니다(그래서 이들 회사의 주가는 CES 2020 이후 크게 올랐습니다).",대화형,추론형,긍정,긍정,과거,과거,확실,확실
31,이들 9개 프로젝트는 모두 설립자이거나 대표이사 1명이 1개 주식으로 회사를 갖고 있었습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
70,미국 상장사 중에서 매출이 가장 많은 기업 500개를 담은 S&P500지수는 연일 사상 최고치를 경신하며 6개월 전에 비해 15%가량 상승했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
42,신라 성장에 의성이 무슨 역할을 했다는 걸까?,대화형,대화형,긍정,긍정,과거,현재,확실,불확실
12,"최근 50년 동안 평균 기온이 약 3도 올랐고, 최근엔 남극 기온이 사상 최고인 영상 20도를 기록했습니다.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
15,훅을 인수해서 OTT 사업 역량을 내재화한 덕분에 쿠팡플레이를 선보이고 단기간에 ＇국산 OTT 톱3＇ 반열에 오를 수 있었다고.,대화형,추론형,긍정,긍정,과거,과거,확실,확실
114,＇코로나19 바이러스를 통해 보지 않았는가.＇,대화형,대화형,긍정,긍정,과거,현재,확실,확실
76,썩은 나무가 정치를 좌지우지하고 걸어다니는 시체가 권력을 쥐고 있으니 나라의 불행이 점점 가까이 다가오는구나.,대화형,추론형,긍정,부정,과거,현재,확실,확실
97,역학조사 결과 75년 전 동토층에 매장한 사람과 동물의 사체에서 나온 탄저균이 그 원인이었습니다.,대화형,추론형,긍정,긍정,과거,과거,확실,확실
24,지인이 키우는 개 ＇뽀리＇는 이름 때문인지(?) 식구들 양말을 가져가 숨기는 데 진심이란다.,대화형,추론형,긍정,긍정,과거,현재,확실,확실
78,TSMC는 바로 반격에 나섰습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
22,"전일 거래대금이 1,000만 달러 이상이었던 코인 중 상승 폭이 컸던 코인 보겠습니다.",대화형,대화형,긍정,긍정,과거,현재,확실,확실
96,2015년 연구팀은 1만5000년 전 형성된 티베트 고원(칭장고원)의 굴리야 빙하에 깊이 50m짜리 구멍을 뚫어 얼음 샘플을 채취했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
56,"1개 주식으로 100%를 보유한 9곳과, 1명 혹은 1개 회사가 수 개 주식으로 지분을 모두 가진 프로젝트는 27곳이었습니다.",대화형,사실형,긍정,긍정,과거,과거,확실,확실
110,"아버지가 가르쳐주신 기술들과 사업관, 가치관이 있었기에 여기까지 버티고 왔어요.",대화형,추론형,긍정,긍정,과거,과거,확실,확실
30,랜팅은 남극에 서식하는 펭귄들을 찍었는데 사진 속 펭귄들은 하나같이 하얀 눈이 아닌 진흙을 뒤집어쓰고 있었죠.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
53,약 550개의 프로젝트 정보를 갖고 있는 가상화폐 공시 플랫폼 쟁글은 프로젝트의 주주 구성을 볼 수 있는 69개 프로젝트를 분석해봤습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
118,"과학자들은 사망한 소년이 유목민이라는 점을 고려했을 때 따뜻한 날씨에 동토층이 녹으며 사체가 드러났고, 이 사체와 밀접 접촉한 순록들이 탄저균을 사람에게 옮겼을 것이라고 추정했죠.",대화형,추론형,긍정,긍정,과거,과거,확실,불확실
9,비슷한 시기 지구상엔 인류의 조상인 호모 사피엔스가 처음 등장했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
33,민심이 한번 떠났더라면 양호(정유재란 때 명나라 총사령관)와 이여송(임진왜란 때 명나라 총사령관)의 구원병을 어떻게 먹이고 호남과 영남의 의병들이 어떻게 일어났을 것인가.,대화형,대화형,긍정,긍정,과거,현재,확실,확실
25,불호령 같은 규제를 피함과 동시에 ICO 물결에 탑승하기 위한 어쩔 수 없는 선택이기도 했던 것입니다.,대화형,추론형,긍정,긍정,과거,과거,확실,확실
69,이 부회장은 지난 14일 에인트호번에 있는 ASML 본사를 방문했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
28,이에 대해 참여연대는 ＂조국 펀드의 불법성을 주장했다는 이유를 들어 김경율 회계사를 비판한 바 없다＂고 밝혀왔습니다.,대화형,대화형,긍정,긍정,과거,과거,확실,확실
98,5월 마지막주 반도체 주가가 부진했습니다.,대화형,사실형,긍정,부정,과거,과거,확실,확실
85,세계보건기구(WHO)가 코로나19와 관련한 국제공중보건비상사태를 선포한 1월 30일 이후에도 S&P500은 5% 가까이 올랐습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
5,꽃구경이 그립다고요 그래서 서비스로 신구대식물원에 환하게 피어난 꽃 사진을 한 컷 끼워놨습니다.,대화형,대화형,긍정,긍정,과거,현재,확실,확실
90,노력의 결과는 달콤했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
68,"올해 새로운 디바이스와 소프트웨어 출시를 준비하고 있는 구글만 하더라도 그런 신제품들을 미리 공개하는 것보다, 우리 삶 속에 구글 어시스턴트가 어떤 새로운 도움을 줄 수 있는지를 체험하는 내용을 중심으로 전시를 구성했었습니다.",대화형,추론형,긍정,긍정,과거,과거,확실,확실
39,비트코인 도미넌스(시가총액 점유율)는 66.3%로 전 주 대비해서 0.5% 상승했습니다.,대화형,사실형,긍정,긍정,과거,과거,확실,확실
0,"첫째, 불필요한 마이너스통장부터 정리하자.",대화형,사실형,긍정,긍정,미래,현재,확실,확실
1,네덜란드에 위치한 한 기업을 직접 찾아가서 만나기 위함인데요. ,대화형,대화형,긍정,긍정,미래,현재,확실,확실
2,＂1인치 정도 되는 장벽을 뛰어넘으면 여러분은 훨씬 더 많은 영화를 즐길 수 있습니다.＂,대화형,,긍정,,미래,,확실,
3,평생에 이보다 좋은 일이 더 있겠는가.,대화형,대화형,긍정,긍정,미래,현재,확실,불확실
4,이 패턴은 추가 공정을 거쳐 반도체의 도로인 집적회로가 됩니다.,대화형,사실형,긍정,긍정,미래,현재,확실,확실
5,사람 친구는 어느 한쪽에 애인이 생기면 끊어주는 게 쌈빡한 예의 아닐까.,대화형,대화형,긍정,긍정,미래,현재,확실,확실
6,＂부당한 지시라고 생각되더라도 저항이라는 걸 해보세요.＂,대화형,대화형,긍정,긍정,미래,현재,확실,불확실
7,하지만 진짜 위기가 왔을 때 이를 기회로 바꾸기 위해 실천할 수 있으려면 준비가 되어 있어야 할 겁니다.,대화형,추론형,긍정,긍정,미래,미래,확실,불확실
8,반도체 기업들이 구매를 아무리 원한다고 해도 ASML이 생산량을 신속하게 확장하는 건 불가능합니다.,대화형,추론형,긍정,부정,미래,현재,확실,확실
9,"＂얼른 코로나 사태가 끝나서, 마스크는 이제 안 팔아도 되는 세상이 왔으면 좋겠어요.＂",대화형,대화형,긍정,긍정,미래,미래,확실,불확실
10,사람만이 아니라 동물들의 이동도 자유로워지죠.,대화형,추론형,긍정,긍정,미래,현재,확실,확실
11,＂그래서 콘텐츠에 힘이 생기고 팬덤이 만들어지는 겁니다.＂,대화형,,긍정,,미래,,확실,
12,＂크게 생각하고 도전적인 자세로 임하라.＂,대화형,대화형,긍정,긍정,미래,현재,확실,확실
13,인텔은 2025년까지 이 장비를 통한 제품 생산에 나설 방침입니다.,대화형,사실형,긍정,긍정,미래,미래,확실,확실
14,한번 꼭 따라 해보세요.,대화형,대화형,긍정,긍정,미래,현재,확실,확실
15,눈 속을 헤치고 산을 오른 뒤 얼음을 뚫어야 비로소 바이러스를 만날 수 있죠.,대화형,,긍정,,미래,,확실,
16,그 대신 지방 국립대에는 더 많은 지원에 나서자.,대화형,추론형,긍정,긍정,미래,현재,확실,확실
17,지금이라도 정부는 사립대에서 손을 떼고 자율에 맡기자.,대화형,추론형,긍정,긍정,미래,현재,확실,확실
18,＂지역구의 이익보다는 국익을 생각하겠다.＂,대화형,대화형,긍정,긍정,미래,현재,확실,확실
19,WMO의 추정에 의하면 남극의 빙하가 전부 녹아 없어질 경우 전 세계 해수면은 약 60m 상승한다고 합니다.,대화형,추론형,긍정,긍정,미래,현재,확실,불확실
20,＂본업인 연기를 잘하면 해결될 일이니까(웃음).＂,대화형,,긍정,,미래,,확실,
21,＂그렇게 하나씩 썩어 들어가는 겁니다.＂,대화형,추론형,긍정,부정,미래,현재,확실,확실
22,온난화로 인해 오랜 시간 빙하·동토 속에서 잠들었던 고대 미생물과 바이러스들이 부활할 수 있기 때문입니다.,대화형,추론형,긍정,긍정,미래,미래,확실,불확실
23,ASML이 독점 생산하는 이 장비가 없으면 반도체 기업들은 미세 공정을 시작할 수조차 없습니다.,대화형,추론형,긍정,부정,미래,현재,확실,확실
24,"＂건강할 때, 증상을 느끼지 못하는 질병을 조기에 발견하기 위해 건강검진을 꼭 받아야 합니다.＂",대화형,추론형,긍정,긍정,미래,현재,확실,확실
25,국립대 학생에게 이전보다 더 많은 장학금을 지급하고 지방 혁신도시 내 위치한 공기업에 지방 국립대 졸업생 의무 채용 규모를 늘려주자.,대화형,추론형,긍정,긍정,미래,미래,확실,불확실
165,이들의 관할권은 모두 싱가포르입니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
186,＂건강검진은 질병의 조기 발견과 예방이 목적입니다.＂,대화형,사실형,긍정,긍정,현재,현재,확실,확실
82,연동형 비례대표제가 도입되면 사표를 방지할 수 있어 모든 표의 가치가 동등해집니다.,대화형,추론형,긍정,긍정,현재,미래,확실,확실
30,외국 탄광회사 사람들과 하와이 미국인 농장주의 증언을 들어보라.,대화형,,긍정,,현재,,확실,
9,＂연간 대출 자금 28억원 중 아직 24억원이 남았습니다.＂,대화형,사실형,긍정,긍정,현재,현재,확실,확실
6,좋은 스윙을 하기 위한 기본입니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
200,모두 최종 조사 결과가 음성으로 나왔음에도 일각에서는 믿지 않는 분위기입니다.,대화형,추론형,긍정,부정,현재,현재,확실,확실
24,이번 호도 코로나19 밥상이 푸짐합니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
120,4인부터 10인까지 함께할 수 있는 룸도 마련되어 있으니 프라이빗한 식사를 원한다면 참고하자.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
101,＂예능과 연기를 병행하는 경우 다들 비슷한 고민과 혼란을 겪을 거라고 생각해요.＂,대화형,추론형,긍정,긍정,현재,현재,확실,불확실
114,＇하이 NA EUV＇는 현재 가장 최첨단인 차세대 EUV 노광장비입니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
55,좋은 백스윙을 했지만 그래도 좀 더 강하게 볼을 치고 싶은 욕심이 있겠죠,대화형,추론형,긍정,긍정,현재,현재,확실,확실
33,＂산업계는 지금 전쟁 상황이나 다름없습니다.＂,대화형,대화형,긍정,긍정,현재,현재,확실,확실
162,"일단 거울을 이용해 뒤통수, 정수리 속을 주기적으로 살펴보자.",대화형,대화형,긍정,긍정,현재,현재,확실,확실
97,연습법도 있죠.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
231,"미국의 ＇뭐가 됐든 무조건 다 지원하겠다＇는 번개 같은 결정에 ＇화들짝＇ 놀라 부랴부랴 추진한 모양새라 다소 아쉽지만, 그래도 반가운 소식입니다.",대화형,추론형,긍정,긍정,현재,과거,확실,확실
45,실제로 정당 지지율에 비해 지역구 의원 수가 많은 한국당은 연동형 비례대표제가 시행되면 의석수가 줄어들 가능성이 큽니다.,대화형,추론형,긍정,긍정,현재,미래,확실,불확실
73,그런 만큼 두 가지 질문을 진지하게 고민할 시점이 오지 않았나 생각합니다.,대화형,대화형,긍정,긍정,현재,현재,확실,불확실
252,＂＇기생충＇이라는 영화는 봉준호 20년 리얼리즘의 완성에 와 있는 작품이죠.＂,대화형,추론형,긍정,긍정,현재,현재,확실,확실
225,2015년 12월의 ＇제로금리＇ 수준으로 돌아간 겁니다.,대화형,사실형,긍정,긍정,현재,과거,확실,확실
15,선거철에 정당과 정치인들이 움직이는 것처럼 평소에도 유권자의 마음을 얻기 위해 움직이면 얼마나 좋을까.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
90,북반구의 4분의 1을 덮고 있는 동토층도 같은 운명에 처해 있습니다.,대화형,추론형,긍정,부정,현재,현재,확실,확실
223,＂세상은 선과 악으로 나뉘지.＂,대화형,사실형,긍정,긍정,현재,현재,확실,확실
240,"이미 세계 최고 시가총액을 자랑하는 공룡들이 마치 갓 시장에 진입한 스타트업처럼 매년 20~30%씩 매출이 증가하고 있고, 게다가 경제적 위기를 맞아 멸종하지 않으려고 현금도 최대 한도로 끌어올려 둔 모습인 겁니다.",대화형,추론형,긍정,긍정,현재,현재,확실,확실
208,＂저는 한국시간으로 생일이었는데 배우로서 최고의 생일이 아니었나 생각됩니다.(조여정)＂,대화형,대화형,긍정,긍정,현재,과거,확실,불확실
19,이런 제도를 왜 만들었나요.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
159,이것으로 2020년 1월 31일 디브리핑을 마치겠습니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
192,＂아리스토텔레스에 따르면 정치란 결국 인간의 덕성 문제인데 말이다.＂,대화형,추론형,긍정,긍정,현재,현재,확실,확실
255,＂아마추어 골퍼들이 클럽을 놓지 못하고 붙잡기 때문에 정확한 임팩트가 나오지 않는다. 임팩트 때 양손을 쭉 펴주면 아마추어 골퍼들이 고민하는 모든 것이 해결될 것＂이라고 알려주네요.,대화형,대화형,긍정,긍정,현재,현재,확실,확실
181,"시짱 자치구, 칭하이성, 신장 자치구, 인도 카슈미르 일부에 걸친 이 고원의 평균 해발고도는 4500m입니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
243,＇아 마침내 내 평생 소원이 이뤄지는구나.＇,대화형,대화형,긍정,긍정,현재,현재,확실,확실
182,"과학자들, 특히 바이러스를 연구하는 과학자들은 이 온난화에 주목하고 있습니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
10,먼저 이 씨의 사례로 살펴보자.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
175,대다수 코인이 상승 중인 상황에서 많이 오른 코인이 약간의 조정을 받는 모습입니다.,대화형,추론형,긍정,긍정,현재,현재,확실,확실
67,EUV는 반도체 밑그림을 그려주는 장비인 셈이죠.,대화형,추론형,긍정,긍정,현재,현재,확실,확실
86,지난 한 주 동안의 암호화폐 동향 살펴보겠습니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
206,"＂실례인 줄 알면서도, 단지 나만을 위해 살고 있다.＂",대화형,대화형,긍정,긍정,현재,현재,확실,확실
25,문재인 대통령과 더불어민주당은 남은 집권 기간에 연립정부를 구성하길 바란다.,대화형,추론형,긍정,긍정,현재,미래,확실,불확실
127,초창기 ICO 때와는 달라지고 있습니다.,대화형,추론형,긍정,긍정,현재,현재,확실,확실
18,＂좀 주워다 줄래.＂,대화형,대화형,긍정,긍정,현재,현재,확실,확실
241,아버지의 유작이죠.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
144,아파트가 주거 공간을 넘어생활 공간으로 자리 잡으면서건폐율 낮은 아파트가떠오르고 있는데요!,대화형,,긍정,,현재,,확실,
216,특히 대구 소년의 경우 단순히 한 개인의 운이 나빴던 것으로 치부하기에는 시사하는 바가 너무 큽니다.,대화형,추론형,긍정,부정,현재,현재,확실,확실
68,이것으로 2020년 2월 3일 디브리핑을 마치겠습니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
108,"비트코인은 1,100만원 돌파를 앞두고 횡보를 이어가고 있습니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
84,"그 뒤를 이어 최근 가장 강한 상승세를 보이고 있는 아이콘(ICX)이 +14%로 2위를 차지하고 있으며, 대표적인 바이낸스 런치패드 코인인 매틱네트워크(MATIC)와 하모니(ONE)이 그 뒤를 잇고 있습니다.",대화형,사실형,긍정,긍정,현재,현재,확실,확실
146,＇툭＇ 끊어 치듯 퍼팅하는 겁니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
173,갈라게임즈가 한국에 10억달러(한화 약 1조3000억원)의 투자를 하겠다고 밝히기도 했는데. 맞다.,대화형,,긍정,,현재,,확실,
16,덕분에 쾌적한 환경을 원하는사람들에게 인기가 많죠.,대화형,추론형,긍정,긍정,현재,현재,확실,확실
150,부부가 하는 작은 여행사입니다.,대화형,사실형,긍정,긍정,현재,현재,확실,확실
0,그렇다면 차천로는 과연 어떤 비석을 두고 이런 말을 했던 걸까.,대화형,대화형,미정,긍정,과거,현재,확실,확실
0,＂호남과 강서에 한재가 들었으니 상을 마련해 곡식을 저장하고 있는 집들에 권유하도록 하십시오.＂,대화형,대화형,미정,긍정,미래,현재,확실,확실
1,4일 밤 북쪽 밤하늘에서 무수한 유성우(별똥별)와 조우할 수 있을까.,대화형,대화형,미정,긍정,미래,현재,확실,불확실
0,미 부사장은 하이 NA EUV를 이용한 반도체 양산 시기는 밝히지 않았습니다.,대화형,사실형,부정,부정,과거,과거,확실,확실
1,개인적으로 CES 2020은 놀랍지 않았습니다.,대화형,추론형,부정,부정,과거,과거,확실,확실
2,다른 동식물엔 해가 되지 않았죠.,대화형,대화형,부정,긍정,과거,과거,확실,확실
3,사정이 이렇다 보니 최근 10년간 퇴직연금 수익률이 연 3%를 넘어선 적이 거의 없습니다.,대화형,추론형,부정,부정,과거,과거,확실,확실
4,그런데 이렇게 맛 좋은 우곡주를 제가 잘 팔지 못했어요.,대화형,대화형,부정,부정,과거,과거,확실,확실
0,피토바이러스를 발견한 연구팀의 일원인 장 미셸 클라베리 프랑스 악스-마르세유대 교수는 논문을 통해 ＂지구 온난화로 인해 영구동토나 빙하가 녹으면 이 속에 들어 있던 원시 미생물들이 다시 부활할 수 있다＂며 ＂우리가 모르는 신종 바이러스의 잠재적 위협에 대비해야 한다＂고 강조했습니다.,대화형,추론형,부정,긍정,미래,미래,확실,불확실
0,＂이거 아무 국가나 할 수 있는 거 아닙니다.＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
1,DB형은 디폴트 옵션과 전혀 상관이 없습니다.,대화형,사실형,부정,긍정,현재,현재,확실,확실
2,그렇다면 이런 도전이 한국에서는 왜 안 될까?,대화형,대화형,부정,긍정,현재,현재,확실,불확실
3,＂큰 나무 그늘에서 근심 없이 거닐고 그 아래 편안하게 누우면 되지 않는가＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
4,스윙 리듬이 맞지 않으면 공이 원하는 방향으로 날아가지 않기 때문입니다.,대화형,추론형,부정,부정,현재,현재,확실,확실
5,＇무제한＇ 용어가 붙은 조치는 외환위기나 금융위기 때도 전례가 없습니다.,대화형,사실형,부정,긍정,현재,현재,확실,확실
6,＂선은 속지 않는 거예요.＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
7,초비상 시대에 발맞춰 기업마다 ＇컨틴전시 플랜＇ 짜기에 여념이 없습니다.,대화형,사실형,부정,긍정,현재,현재,확실,확실
8,훌륭한 전시가 없었다는 뜻이 아닙니다.,대화형,추론형,부정,부정,현재,과거,확실,확실
9,현재 밤에 고열이나 호흡기 증상이 발현했을 때 갈 곳이 별로 없습니다.,대화형,추론형,부정,부정,현재,현재,확실,확실
10,＂하지만 진짜 잘해주지는 마.＂,대화형,대화형,부정,긍정,현재,현재,확실,확실
11,＂무릇 쌀을 내어 흉년을 극복하는 것은 의풍(아름다운 풍속)을 숭상하는 일에 속하니 진납(進納·곡식이나 재물을 국가에 자진해서 바치는 일)하는 것과는 같지 않습니다＂,대화형,추론형,부정,긍정,현재,현재,확실,확실
12,사실 병원과 의사만 뭐라 할 수도 없습니다.,대화형,추론형,부정,긍정,현재,현재,확실,불확실
13,"한국여자프로골프(KLPGA) 투어에서 호쾌한 스윙을 갖고 있는 선수로는 프로골퍼 이소영(23,롯데)을 빼놓을 수 없습니다.",대화형,추론형,부정,긍정,현재,현재,확실,확실
2755,달시 파켓은 기생충의 뉘앙스와 상징성을 잘 살린 번역으로 호평을 받았다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
3437,"《용재총화》에 따르면, 성종 8년(1477)에 유구국 사신이 방문해 임금이 경회루 밑에서 접견했다.",사실형,사실형,긍정,긍정,과거,과거,확실,확실
6474,한 총리는 ＂특히 중요 사안은 대통령이 직접 회의를 주재해 강력한 리더십을 바탕으로 핵심 과제를 신속하게 결정하고 추진해 나갈 예정＂이라고 설명했다.,사실형,추론형,긍정,긍정,과거,미래,확실,불확실
3126,샤토 몬텔레나를 방문해 2018년 빈티지 샤르도네 와인을 시음했다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
5860,삼성SDI 해고 노동자가 노조 설립을 이유로 부당하게 해고 됐다며 기업과 임원을 상대로 낸 손해배상 소송에서 일부 승소했다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
6989,노비가 도망가면 추노를 고용해 땅끝까지 추적했다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
6338,또 사육신 중 한 사람인 하위지가 처형되고 나서 그 가족들도 다른 사육신 가족들처럼 연좌법이 적용돼 죽거나 노비가 됐다.,사실형,사실형,긍정,부정,과거,과거,확실,확실
5813,"1분위 가구 소득 증가에 대한 소득 원천별 기여도는, 근로소득 -55%, 사업소득 4%, 재산소득 -2% , 공적이전소득 98%, 사적이전소득 57%였다.",사실형,,긍정,,과거,,확실,
132,손 세정제도 58배 많이 팔렸다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
4241,백대붕은 벼슬이 종2품 가의대부에 오른 유희경과 절친한 사이였다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
2821,일찍이 덕종대왕의 초상을 그리니 임금(성종)께서 보고 사모하다가 특별한 은총을 내려 당상의 직책을 제수했다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
5792,"경찰은 전날에도 백현동 개발사업자 사무실과 대표 주거지, 로비 의혹이 제기된 인물의 주거지와 사무실을 압수수색했다.",사실형,사실형,긍정,긍정,과거,과거,확실,확실
5141,"이날 검찰은 ＂정씨 재판이 진행 중이고, 혐의·증거가 중복되는 점을 고려해 기존 사건을 담당하는 재판부에 병합 신청을 했다＂고 전했다.",사실형,,긍정,,과거,,확실,
263,에이서 역시 CES 2020에서 ＇스위프트(Swift) 3＇ 신제품 2종을 새롭게 선보였다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
3982,위원회 측 관계자는 ＂올해는 안건을 준비 중에 있어 대면회의가 열리지 못했다＂고 설명했다.,사실형,대화형,긍정,긍정,과거,과거,확실,확실
3877,＇도움이 필요한 곳이면 어디든 달려간다＇는 모토로 기획됐다.,사실형,추론형,긍정,긍정,과거,과거,확실,확실
6794,아주대학교 의료원장이 이국종 교수에게 욕설을 퍼붓는 내용이 담긴 녹음파일이 공개돼 논란이 이는 가운데 당사자인 이 교수가 15일 귀국했다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
1941,이이의 《석담일기》는 선조 11년(1578) 8월 임금이 출행하다가 어린아이가 출행 행렬에 끼어있는 것을 보고 괴이하게 여겨 물으니 군사라는 답이 올라왔다고 적고 있다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
4353,3년간 전체 음주운전 적발 건수의 20.5%에 해당한다.,사실형,사실형,긍정,긍정,과거,현재,확실,확실
3439,검찰은 이미 경찰이 관련 사건을 수사중인 점을 감안해 경기남부경찰청에 사건을 이첩했다.,사실형,사실형,긍정,긍정,과거,과거,확실,확실
