index,user_prompt,유형,유형_예측,극성,극성_예측,시제,시제_예측,확실성,확실성_예측
13,조국은 그런 것일까.,대화형,대화형,긍정,긍정,과거,현재,불확실,불확실
14,왜 초기 대응에 실패했나.,대화형,대화형,긍정,긍정,과거,현재,불확실,확실
15,특히 이 부회장이 지난해 구속돼 있는 동안 미국 인텔과 대만 TSMC는 공격적으로 EUV 장비 확보에 나선 것으로 알려졌기 때문입니다.,대화형,추론형,긍정,긍정,과거,과거,불확실,불확실
0,반대로 지역구 당선 의원에 비해 전국적 지지율이 높은 정의당은 새 제도가 도입되면 의석수가 더 늘어날 것으로 예상됩니다.,대화형,예측형,긍정,긍정,미래,미래,불확실,불확실
1,극지방의 빙하가 녹아 뱃길이 열리면 물류 운송시간이 크게 단축된다는 것입니다.,대화형,추론형,긍정,긍정,미래,미래,불확실,확실
2,하지만 모두가 총을 소유할 수 있게 된 시대에는 총을 활용한 전술적 혁신이 더 중요해질 겁니다.,대화형,예측형,긍정,긍정,미래,미래,불확실,불확실
3,그리고 어드레스 라인과 퍼터 헤드가 정확하게 직각을 이루도록 돕고 스트로크를 할 때 퍼터 페이스가 열리거나 닫히는 단점도 고칠 수 있습니다.,대화형,추론형,긍정,긍정,미래,현재,불확실,확실
4,"이 애매하고 어정쩡한 둘 사이, 도대체 어떻게 설명해야 할까?",대화형,대화형,긍정,긍정,미래,현재,불확실,불확실
5,어떻게 지속가능한 비즈니스 구조를 만들까?,대화형,대화형,긍정,긍정,미래,현재,불확실,불확실
6,차라리 아무것도 안 하는게 돈을 버는 것일 수 있다는 생각을 갖도록 해야 하지 않을까.,대화형,대화형,긍정,긍정,미래,현재,불확실,불확실
7,그러나 비워서 만들어진 공간을 활용하는 것은 가능하지 않을까.,대화형,대화형,긍정,긍정,미래,현재,불확실,불확실
8,"비트코인이 1,100만원을 돌파할 가능성은 높지만, 만약 돌파에 실패할 경우 시장에 단기 조정이 찾아올 수 있습니다.",대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
9,양손 개입을 최대한 줄이는 만큼 컨디션에 상관없이 언제나 원하는 방향으로 공을 날릴 수 있습니다.,대화형,추론형,긍정,긍정,미래,현재,불확실,확실
10,연동형 비례제로 소수 정당이 난립하면 복잡하고 다양한 이해관계가 생기기 때문에 갈등이 더 심해지고 정국이 불안정해질 수도 있습니다.,대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
11,이러면 ＇스타트 라인＇에 대한 믿음과 자신감을 얻을 수 있습니다.,대화형,추론형,긍정,긍정,미래,현재,불확실,불확실
12,4차 산업혁명 관련 기업도 더욱 각광을 받을 테고요.,대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
13,그래도 쓰러지지 않고 버티고 있으니 하늘에서 아버지가 기특하다고 생각하실 것 같아요.,대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
14,재택근무가 확산될 것이고 의료 시스템과 원격진료에 대한 논의도 진지하게 시작되겠지요.,대화형,예측형,긍정,긍정,미래,미래,불확실,불확실
15,그리고 향후 10년의 승리는 기술을 마스터한 상태에서 전술적 혁신을 어떻게 구축할 수 있느냐에 달려 있을 겁니다.,대화형,예측형,긍정,긍정,미래,미래,불확실,불확실
16,그들을 어떻게 알아보고 걸러낼까.,대화형,대화형,긍정,긍정,미래,현재,불확실,불확실
17,삼성이 이미 반도체를 포함해 450조원 규모의 투자 계획을 발표한 만큼 EUV 장비도 적극적으로 구매할 것으로 보이기 때문입니다.,대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
18,＂저는 곧 깨어나서 이 모든 것이 꿈이라는 걸 알게 되겠죠.＂,대화형,대화형,긍정,긍정,미래,미래,불확실,불확실
19,코로나19 등으로 인해 미국 경제가 나빠지면 연준이 금리를 내릴 거라는 예상입니다.,대화형,추론형,긍정,부정,미래,미래,불확실,불확실
20,"지난해 10월과 11월에도 강한 매물 구간으로 작용했던 자리이기에 1,000만원대까지 조정이 나올 수도 있습니다.",대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
21,이번 사태로 스포트라이트를 받은 의료장비나 바이오 기업은 새로운 기회를 얻을 것 같습니다.,대화형,추론형,긍정,긍정,미래,미래,불확실,불확실
0,＂노인일자리 비판은 60만명이 넘는 빈곤노인을 그냥 방치하자는 것이냐.＂,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
1,요즘 인기 있는 여행지들의 공통적인 특징인 ＇인생샷＇에 대한 그의 철학과 혜안이 오늘의 남이섬을 있게 하지 않았을까.,대화형,추론형,긍정,긍정,현재,과거,불확실,불확실
2,＇상사 뒷담화＇나 ＇회사 기밀 내용＇이 녹음·녹화되는 일은 없을까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
3,"안용복, 생몰미상이 없었다면 오늘날 우리가 과연 독도의 소유권을 주장할 수 있었을까.",대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
4,하이프 머신의 힘은 얼마나 강력할까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
5,＂볼을 맞힌다는 생각을 버리고 ＇지나간다＇는 생각을 하며 드라이버를 휘두르면 자연스럽게 거리가 늘어난다. 그리고 임팩트 이후까지 헤드 스피드가 가속되면 피니시 동작은 자연스럽게 나오게 된다＂고 하네요.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
6,"＂오른 팔꿈치가 뒤로 빠지거나 몸 안쪽에 위치한 상태라면 다운스윙을 정상적으로 할 수 없어 손목을 쓰거나 몸을 쓰게 된다, 당연히 정타와 장타 모두 잃게 된다＂고도 덧붙입니다.",대화형,대화형,긍정,긍정,현재,현재,불확실,확실
7,세계 최고 교육 수준 덕분에 범죄 유형도 몸보다 머리를 쓰는 쪽으로 진화했다고 위안을 삼아야 할까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
8,마늘꽃이 얼마나 예쁘면 도로변에 경관 식물로 재배하는 곳까지 생겼을까.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
9,"＂1차 검사는 음성, 재검 시 양성이 나오는 이유는?＂",대화형,대화형,긍정,긍정,현재,현재,불확실,확실
10,＂보통 수준의 면역력을 지닌 성인 치료는?＂,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
11,준공 10년이 넘은 아파트가건폐율이 높다는 이유로인근 새 아파트 못지않게시세가 형성되기도 합니다.,대화형,추론형,긍정,긍정,현재,현재,불확실,확실
12,"비트코인이 큰 조정을 보이지만 않는다면, 당분간 마이너 알트코인도 강세를 보일 가능성이 높습니다.",대화형,추론형,긍정,긍정,현재,미래,불확실,불확실
13,우곡생주를 잘 팔면 아버지에 대한 빚은 갚을 수 있겠죠.,대화형,추론형,긍정,긍정,현재,미래,불확실,불확실
14,우리는 눈(雪)을 잃어가고 있는 것인가.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
15,"말로 하기 전에 느낌부터 전해지는 것, 논리보다 앞서 가슴 찡한 느낌으로 오는 것, 그것이 조국일까?",대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
16,한국 정치가 극한 험지처럼 보일 때가 없지 않지만 그렇다고 오지 탐험과 보수혁신은 무슨 상관인가.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
17,매일 솜씨 좋은 정원사가 가위질을 해도 어찌 저런 단정함이 나올 수 있을까?,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
18,이렇게 볕 좋은 날 상의라도 벗고 바위에 누워 일광욕을 즐길 수 있다면 얼마나 좋을까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
19,거대한 우주와 나밖에 없는 꼭지점에 서 본 사람은 이미 해탈에 든 자가 아닐까?,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
20,위성이 행성으로부터 독립하려다 좌절된 슬픈 스토리부터 생각해보자.,대화형,추론형,긍정,긍정,현재,현재,불확실,확실
21,그럼에도 불구하고 부득이 하게 보험계약을 파기해야 하는 소비자들을 위한 현명한 해약법은 뭘까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
22,이렇게 내 삶에서 정리라는 단어를 영원히 떠나보내야 하는 걸까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
23,"코로나19로 인해 세계 경제에 불안함이 감도는 가운데, 많은 이들이 궁금해하는 미스터리 중 하나가 ＇왜 미국 주식시장만 올라가느냐＇인 것 같습니다.",대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
24,"잘 좀 써보려고 해도 복잡하기 짝이 없는, 하지만 남녀노소 누구나 꼭 필요한 이 필수품에 대해 간단하고 확실하게 정리해보자.",대화형,,긍정,,현재,,불확실,
25,"한국게임미디어협회(KGMA) 신년기획 10부작 게임질병 코드 어떻게 볼 것인가 1부, 왜 게임은 탄압받는가?",대화형,대화형,긍정,긍정,현재,현재,불확실,확실
26,중국정부가 모바일 결제가 안착하고 현금을 쓰지 않는 현 상황에서 디지털 화폐를 만드는 이유는 무엇일까.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
27,"＇ICO 금지령＇ 피해 효율적이고 재빠르게 법인을 만들어야 했던 프로젝트들왜 전통 주식시장의 상장사들에 비해 주식이 소수에 집중되어 있고, 주식 수도 지나치게 적은 것일까요.",대화형,대화형,긍정,긍정,현재,현재,불확실,확실
28,"노후를 책임져야 할 3층 연금 중 한 축인 퇴직연금이 이리 비실대니, 노후 걱정 안 하고 사는 것은 ＇먼 나라 얘기＇ 같을 테죠.",대화형,추론형,긍정,부정,현재,현재,불확실,불확실
29,＂그 좁은 데서 어떻게 같이 지내요?＂,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
30,＂백스윙을 하면서 오른 팔꿈치를 ＇ㄴ＇자 모양으로 유지하며 그대로 몸을 회전시키면 된다. 사실 유연성이 필요해 집에서 연습하기에 아주 좋다. 백스윙 모양만 잘 만들었다면 이후 동작은 크게 신경 쓰지 않아도 된다. ＇몸이 먼저 돌고 손은 따라간다＇는 생각만 하면 된다＂고 설명합니다.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
31,연동형 비례대표제가 무엇인가요.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
32,제1야당인 자유한국당이 이 제도를 반대하는 이유는 무엇인가요.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
33,"물론, 거래량이 받쳐주는 메이저 알트코인은 최소 1회 이상 급등할 가능성이 높습니다.",대화형,추론형,긍정,긍정,현재,미래,불확실,불확실
34,한국 추상화 선구자인 김환기의 푸른 점화 ＇우주(Universe) 05-IV-71 #200＇은 지금 어디에 있을까?,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
35,＂대규모 신도시가 조성되면 온통 토지 보상에 관심이 쏠립니다.＂,대화형,추론형,긍정,긍정,현재,미래,불확실,확실
36,＂치료제가 없는데 입원하면 어떤 치료를 받나?＂,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
37,아니면 혹시 세무조사가 두려워 구입 사실을 숨기는 것일까?,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
38,그런데 책 제목이 왜 그럴까?,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
39,예를 들어 건폐율이 20%라면 대지의 20%만 건물이라는 이야기죠.,대화형,대화형,긍정,긍정,현재,현재,불확실,확실
40,"만족도 1000% 울산바위 등산을 마치고 내려오는 하산길에 언제 다시 이곳을 오를 수 있을까, 라는 상투적 생각도 들었지만, 자꾸 뒤돌아 보게 하는 힘은 과연 무엇일까?",대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
41,"＇자유한국당은 뭐하나, 이런 사람 영입 안 하고.＇",대화형,대화형,긍정,긍정,현재,현재,불확실,확실
42,늘 ＇투기꾼 탓＇과 ＇전 정부 탓＇을 하다 보니 그 변명이 자기확증편향에 빠져들어 과잉 유동성 축소나 주택공급 확대 등 시장에 필요한 정책은 소홀한 것이 아닐까?,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
43,운영 권한을 얻지는 못했지만 실제 자금줄을 보탠 일반 투자자들은 얼마나 정확하고 투명한 정보를 얻고 있는 것일까요.,대화형,대화형,긍정,긍정,현재,현재,불확실,불확실
0,과연 공주와 단종의 유복자는 관노의 삶을 살았을까.,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
1,＇국보 1호＇ 숭례문 현판은 과연 누가 썼을까?,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
2,그러나 20세기 초반 미국인들을 더 큰 공포로 몰아넣은 것은 1929년의 대공황이 아니었을까.,대화형,추론형,미정,긍정,과거,과거,불확실,불확실
3,대테러 작전이라지만 전쟁을 불사할 만큼 그렇게 긴박한 상황이었을까?,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
4,독일 출신 베네딕토 16세와 아르헨티나 출신 프란치스코 교황 사이엔 어떤 일이 있었을까.,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
5,볼일을 보고 꼭지만 누르면 그걸로 끝이라고 믿었는가.,대화형,대화형,미정,긍정,과거,현재,불확실,확실
6,서방 학자들이 흔히 범하는 희망적 사고나 확증 편향 오류였을까.,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
7,그러면 그중에서 가장 효험이 좋았던 온천은 어디일까.,대화형,,미정,,과거,,불확실,
8,까마득 잊고 살았던 걸까.,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
9,그렇다면 조선군은 형편없는 겁쟁이였을까?,대화형,대화형,미정,긍정,과거,현재,불확실,불확실
0,한국인 경제력의 25분의 1에 불과한 북한 주민이 정말 인구절벽에 선 대한민국의 마지막 희망인 것일까.,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
1,＂5G와 인공지능(AI)의 진화가 가져올 미래는 어떤 모습일까.＂,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
2,패스트푸드 시장은 앞으로 어떻게 될까.,대화형,대화형,미정,긍정,미래,미래,불확실,불확실
3,불안과 위험스러운 환경이 인간의 뇌로 하여금 편리함과 안전을 선택하게 만드는 미래 사회는 과연 어떠한 모습일까.,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
4,남자와 여자는 친구가 될 수 있을까?,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
5,＂성동구청과 성동경찰서를 옮겨 왕십리광장과 왕십리역 일대에 비즈니스 타운을 조성할 계획입니다.＂,대화형,예측형,미정,긍정,미래,미래,불확실,불확실
6,"＇시베리아 역병＇의 사례처럼 우리가 이미 알고 있던 감염병, 혹은 신종 감염병이 동물을 매개로, 혹은 직접 접촉을 통해 전 세계로 확산할 수 있습니다.",대화형,,미정,,미래,,불확실,
7,토론토 블루제이스 1선발로 2020년 메이저리그를 시작하는 류현진(33)의 올해 성적표는 어떨까.,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
8,＂임신부가 감염되면 임신 경과에 어떤 영향을 미치나?＂,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
9,그런데 과연 푸드테크협의회에서 대기업과 스타트업 간 협력이 가능할까.,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
10,어린애들까지 1인당 10만원씩 나눠 쓴다고 과연 얼마나 소비 진작 효과가 생길까.,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
11,한일 관광산업이 직면한 문제의 해법을 한일 협력에서 찾아보는 것은 어떨까.,대화형,,미정,,미래,,불확실,
12,산속에서 호환을 피할 수는 없을까.,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
13,언제쯤 코로나19 관련 기사를 쓰지 않아도 되는 날이 올까요.,대화형,대화형,미정,긍정,미래,미래,불확실,불확실
14,＂확진된 영아 옷과 침구류는 재사용이 가능한가?＂,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
15,＂확진된 산모와 신생아가 같은 방에서 지내도 되나?＂,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
16,PC나 스마트폰이 버벅일 때 어떻게 하는가?,대화형,대화형,미정,긍정,미래,현재,불확실,확실
17,"＂네트워크를 업그레이드할 때마다, 새 시즌이 될 때마다 고객에게도 또 다른 서비스를 드려야 하지 않을까요?＂",대화형,대화형,미정,긍정,미래,현재,불확실,불확실
18,＂확진 임신부가 태아나 신생아에게 코로나를 전염시킬 수 있나?＂,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
19,"또 빙하나 동토가 녹은 물이 토양을 오염시키거나, 강과 호수 등 식수원에 유입될 가능성도 있습니다.",대화형,추론형,미정,부정,미래,미래,불확실,불확실
20,"하지만, 뇌가소성(neuro-plasticity)의 효과일까.",대화형,대화형,미정,긍정,미래,현재,불확실,불확실
21,＂모유 수유로 영아에게 코로나가 전염될 위험은?＂,대화형,대화형,미정,긍정,미래,현재,불확실,불확실
0,＂새로 개발된 코로나19 검사법은?＂,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
1,그래도 막상 그곳을 떠올린다면 다르지 않을까.,대화형,추론형,미정,긍정,현재,현재,불확실,불확실
2,공짜로 돈을 나눠주겠다는 데 반대할 도민이 과연 있을까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
3,국가의 미래가 좌우될 만큼 중요한 자리에 자신이 나서서 일하겠다고 나선 사람들은 누구일까.,대화형,대화형,미정,긍정,현재,현재,불확실,확실
4,국내 유통공룡들은 어떤 생존 전략을 준비하고 있나.,대화형,,미정,,현재,,불확실,
5,세종시 아파트가 들썩거리는 이유는 무엇일까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
6,그렇다면 조선 최고의 명문가는 어딜까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
7,그런데 현실은 어떨까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
8,"＂무모한 돈키호테인가, 용감한 영웅인가?＂.",대화형,대화형,미정,긍정,현재,현재,불확실,불확실
9,＂기존에 설치된 제품과의 차이점은?＂,대화형,대화형,미정,긍정,현재,현재,불확실,확실
10,"AI가 바리스타와 바둑기사가 되어 곳곳에서 사람을 밀어내는 지금, ＇인간다움＇이란 어디에 있을까.",대화형,대화형,미정,긍정,현재,현재,불확실,확실
11,＂코로나19로 확진된 영아도 마스크를 착용해야 하나?＂,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
12,그렇다면 서울·수도권 여러 지역 중 눈여겨볼 만한 곳은 어디일까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
13,그 이유는 뭘까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
14,핵무기로 세상을 위협하는 북한이 가장 두려워하는 것이 뭘까?,대화형,대화형,미정,긍정,현재,현재,불확실,확실
15,그곳에도 골목은 있을까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
16,어떤 스윙일까요.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
17,"과연 지금 한국의 기업, 사회, 국가는 어느 쪽에 가까울까?",대화형,대화형,미정,긍정,현재,현재,불확실,불확실
18,그럼 주목할 만한 종목으로는 어떤 것이 있을까요.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
19,근래 들어 동물 소재 영화가 범람하는 이유는 무엇일까.,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
20,＂혈액방사선조사기란 무엇인가?＂,대화형,대화형,미정,긍정,현재,현재,불확실,확실
21,"아침에 일어나서 잠이 들 때까지 스크린을 통한 정보를 뇌에 입력받으며 정보의 홍수 속에 살아가는 정보화 시대. 과연 하루 동안 내리는 다양한 의사결정의 주체는 과연 ＇나＇일까, 아니면 나의 뇌 속에 들어와 있는 ＇정보＇일까.",대화형,대화형,미정,긍정,현재,현재,불확실,불확실
22,＂산모나 신생아 치료는?＂,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
23,송 큐레이터는 지인들과 작품 소유 정리에 실패한 것일까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
24,그런데 필자만의 편견일까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
25,유독 사망자가 중국에서만 나오는 이유가 뭘까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
26,＂향후 국내 보급 계획은?＂,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
27,그렇다면 국회의원은 지역구의 민원 창구라는 말일까?,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
28,＂환자 입장에서 편의성이나 안전성 등은 어떤가?＂,대화형,대화형,미정,긍정,현재,현재,불확실,불확실
0,또 어찌 부인이 마땅히 할 일이 아니라 하여 책망할 것인가.,대화형,대화형,부정,긍정,과거,현재,불확실,확실
0,그러면 왜 정통 의학에서는 레이어트릴을 항암제로 인정하지 않으려는 것일까,대화형,대화형,부정,긍정,현재,현재,불확실,불확실
1,길쭉한 쌀과 튀겨놓은 조가 비슷할 수조차 없지 않겠나.,대화형,대화형,부정,긍정,현재,현재,불확실,확실
2,＂노인일자리 증가를 비판하는 게 지겹지도 않으냐.＂,대화형,대화형,부정,긍정,현재,현재,불확실,확실
3,단기 조정은 있을 수 있지만 지난해 11월 이후와 같은 하락장이 나올 가능성은 많지 않습니다.,대화형,추론형,부정,부정,현재,미래,불확실,불확실
4,아! 어찌 부인의 필치라고 소홀히 다뤄져서야 되겠는가.,대화형,대화형,부정,긍정,현재,현재,불확실,확실
117,다만 ＂항소를 취하하더라도 관련 내용이 이미 대통령지정기록물로 이관되어 이전 정부 국가안보실에서 관리하던 해당 정보를 공개하는 것은 현재로서는 어려운 상황＂이라면서 ＂진실규명을 포함해 유가족 및 국민의 눈높이에 맞는 충분한 조치를 취할 수 없는 상황을 유감스럽게 생각한다＂고 했다.,사실형,대화형,긍정,부정,과거,현재,불확실,확실
19,"27~28일 이틀간 11번가의 ＇모바일 장보기＇ 매출은 23~26일 일평균 대비 생필품(218%), 신선식품(209%), 가공식품(181%)이 높은 신장률을 보였다.",사실형,사실형,긍정,긍정,과거,과거,불확실,확실
82,"당초 사용자들이 스스로 발견한 ＇딜＇들을 올릴 것이라고 생각을 했지만, 초기에는 아무도 올리지 않아 직접 딜을 찾아 올렸다.",사실형,추론형,긍정,긍정,과거,과거,불확실,확실
97,"총책임자인 부위원장이 3개월째 공석인데다, 대면회의는 단 한번도 열지 않은 것으로 알려졌다.",사실형,추론형,긍정,부정,과거,과거,불확실,확실
56,경기 침체가 발생하는 즉시 중앙은행이 또 다시 대대적인 경기 부양책을 펼 것으로 예상하며 이로 인해 통화 가치 훼손이 우려된다고 덧붙였다.,사실형,추론형,긍정,부정,과거,미래,불확실,불확실
12,그 결과 자세를 바꿔 가며 일한 그룹에서 등과 목 통증이 절반 이상 줄고 컨디션도 호전되었다.,사실형,사실형,긍정,긍정,과거,과거,불확실,확실
132,유산균이 살아서 장까지 도달하는 데 큰 역할을 하는 것으로 알려졌다.,사실형,추론형,긍정,긍정,과거,과거,불확실,불확실
65,또 등록 대상 동물을 현행 반려견에서 단계적으로 모든 개로 확대하는 방안도 적극 검토하기로 했다.,사실형,사실형,긍정,긍정,과거,미래,불확실,확실
66,폴란드와도 협상을 진행하고 있는 것으로 알려졌다.,사실형,추론형,긍정,긍정,과거,현재,불확실,불확실
18,"이어 ＂보직심의 등 심의위원들이 참석한 자리에서 허위사실을 유포하며 본인의 생각대로 보직 조정이 되게 유도했다＂며 ＂장기복무나 진급 등을 빌미로 본인을 직접 ＇꼰대＇라고 언급하며 본인의 성향을 맞추고 눈에 들어야 장기복무, 진급을 할 수 있다는 뉘앙스로 압박했다＂고 말했다.",사실형,대화형,긍정,부정,과거,과거,불확실,확실
51,회당 300t가량의 물이 사용되는 것으로 알려졌다.,사실형,사실형,긍정,긍정,과거,현재,불확실,불확실
78,영락제는 고려인이었던 공비의 아들이라는 설이 파다했다.,사실형,추론형,긍정,긍정,과거,과거,불확실,불확실
94,게임 이용자가 선택할 수 있는 직업 역시 기존 디아블로 시리즈의 것을 그대로 따왔다.,사실형,,긍정,,과거,,불확실,
133,회당 300t가량의 물이 사용되는 것으로 알려졌다.,사실형,사실형,긍정,긍정,과거,현재,불확실,불확실
100,이로써 클럽 헤드의 불필요한 움직임을 50% 감소시켜 전작 대비 4야드 정도 비거리를 향상시킬 수 있었다고 한다.,사실형,추론형,긍정,긍정,과거,과거,불확실,불확실
64,이 과정에서 발전된 제작 툴과 소스들의 도움을 많이 받았다고 한다.,사실형,추론형,긍정,긍정,과거,과거,불확실,불확실
27,"이어 ＂국산품 온라인 해외판매 제도의 원활한 시행을 위해 플랫폼 개발, 해외배송 인프라 구축 등 업계 차원의 준비를 차질없이 진행해달라＂고 당부했다.",사실형,대화형,긍정,긍정,과거,과거,불확실,확실
69,현재 관련 펀딩은 시작 나흘 만에 목표금액 3억원을 채운 것으로 알려졌다.,사실형,사실형,긍정,긍정,과거,과거,불확실,확실
125,창업을 하지 않을 수 없었다.,사실형,추론형,긍정,긍정,과거,과거,불확실,확실
73,저축은행권이 경쟁적으로 예금금리를 올리는 것은 금융위원회의 유동성 규제가 크게 작용하는 것으로 알려졌다.,사실형,추론형,긍정,긍정,과거,과거,불확실,확실
11,아울러 검찰은 블록체인에 기록된 전자지갑 내 암호화폐 거래 내역 분석을 통해 테라폼랩스의 자금흐름을 추적할 계획이며 이를 위해 최근 대검찰청에서 가상자산 관련 전문가를 파견받은 것으로 알려졌다.,사실형,사실형,긍정,긍정,과거,과거,불확실,확실
119,이달말까지 온라인으로 작품을 구입하면 작품가 10% 할인혜택도 제공한다고 덧붙였다.,사실형,사실형,긍정,긍정,과거,과거,불확실,확실
110,모두 미국 대통령 선거와 관련한 시기였다.,사실형,사실형,긍정,긍정,과거,과거,불확실,확실
113,"그리고 백여 년이 흘러 아계 이산해, 1539~1609가 북인의 영수로서 영의정에 오르면서 다시 집안이 다시 일어난다.",사실형,사실형,긍정,긍정,과거,과거,불확실,확실
